ticker,month,market_cap,pe_ratio,pb_ratio,trailing_peg_1y
A,2006-06-30,13672445102.64,4.4681193146,3.3560248166,0.1061178337
A,2006-07-31,12110248334.88,3.8046648869,3.19363089,0.0234994008
A,2006-08-31,13694289256.319998,4.3023214754,3.6113632005,0.0265731621
A,2006-09-30,13919972505.88,4.3732241614,3.6708788254,0.0270110904
A,2006-10-31,14548983898.8,4.3994508312,3.9882083056,0.0053651839
A,2006-11-30,13012349644.32,3.9347897322,3.5669818104,0.0047985241
A,2006-12-31,14242474406.55,4.3067657716,3.9041870632,0.0052521534
A,2007-01-31,13027550688.0,20.323792025,3.5623600459,-0.2167142698
A,2007-02-28,12925772948.25,20.1650123998,3.5345291081,-0.2150211896
A,2007-03-31,13715568208.71,21.3971422913,3.7504971859,-0.2281594922
A,2007-04-30,13873572307.28,21.3768448494,3.9025519852,1.4429370273
A,2007-05-31,15407455774.48,23.7403016556,4.3340241278,1.6024703618
A,2007-06-30,15516442231.36,23.9082314813,4.364681359,1.613805625
A,2007-07-31,15105801553.15,24.8859992638,4.5942218836,-1.7109124494
A,2007-08-31,14412874876.4,23.7444396646,4.3834777605,-1.6324302269
A,2007-09-30,14602934764.88,24.0575531547,4.4412818628,-1.6539567794
A,2007-10-31,14244283334.6,22.3264629069,4.4045403014,10.2701729372
A,2007-11-30,14623100096.28,22.9202195866,4.5216759729,10.5433010099
A,2007-12-31,14201763085.84,22.259816749,4.3913924199,10.2395157045
A,2008-01-31,12577926660.56,20.6873793759,3.9640487427,-1.5308660738
A,2008-02-29,11370653723.56,18.701733098,3.5835656236,-1.3839282492
A,2008-03-31,11080908218.68,18.2251779912,3.492249675,-1.3486631714
A,2008-04-30,11027930813.37,16.7597732726,3.4942746557,0.305619395
A,2008-05-31,13648935223.83,20.7430626502,4.3247576755,0.3782558483
A,2008-06-30,12973606789.38,19.7167276434,4.1107752818,0.3595403276
A,2008-07-31,12985503675.3,20.2266412388,4.0770812167,0.3713766299
A,2008-08-31,12517362943.8,19.4974500682,3.9300982555,
A,2008-09-30,10680810843.3,16.6367770145,3.3534727922,
A,2008-10-31,7933842623.070001,11.4485463536,3.100368356,0.3165186345
A,2008-11-30,6732503676.99,9.7150125209,2.6309119488,0.2685915226
A,2008-12-31,5588371347.39,8.0640279183,2.1838106086,0.2229466542
A,2009-01-31,6464347662.24,10.1481124996,2.5143320351,-0.2319568571
A,2009-02-28,4881972406.09,7.6640069169,1.8988613015,-0.175177301
A,2009-03-31,5409943466.59,8.4928468863,2.1042176066,-0.1941222145
A,2009-04-30,6304380330.160001,17.3674389261,2.6061927781,-0.1082645543
A,2009-05-31,6294022640.68,17.3389053462,2.6019109718,-0.1080866827
