ticker,month,ma_dev_3,ma_dev_5,ma_dev_10,ma_dev_20,ma_dev_50,ma_dev_100,ma_dev_200,ma_dev_400,ma_dev_600,ma_dev_800,ma_dev_1000
A,2006-06-30,-0.011089987,-0.014512041,0.0018060836,0.02756654,,,,,,,
A,2006-07-31,-0.016760431,-0.009423347,-0.00059774966,0.029377637,,,,,,,
A,2006-08-31,-0.0099502485,-0.02493781,-0.030130597,-0.06568719,-0.073501244,,,,,,
A,2006-09-30,-0.0013255838,0.0019577853,-0.0071581523,-0.028265525,-0.071024776,,,,,,
A,2006-10-31,-0.0132958805,-0.012191012,-0.015730336,-0.035983145,-0.08143258,-0.11910955,,,,,
A,2006-11-30,0.010050251,0.021670854,0.039070353,0.0491049,0.056802765,-0.0036180904,,,,,
A,2006-12-31,0.0034433287,-0.008149211,-0.014605452,-0.029827833,-0.027971305,-0.05804878,,,,,
A,2007-01-31,-0.00010416667,0.002625,0.0105,0.033671875,0.042875,0.041375,,,,,
A,2007-02-28,0.01984252,0.02935433,0.033669293,0.025653543,0.044604726,0.053729136,,,,,
A,2007-03-31,-0.0018798852,-0.003561888,-0.021490056,-0.043158207,-0.039905015,-0.020899376,-0.044522114,,,,
A,2007-04-30,0.010086316,0.016351469,0.023625255,0.01652604,-0.029933082,-0.030922316,-0.05343759,,,,
A,2007-05-31,0.0023578727,-0.000104794344,0.0005239717,-0.01612523,-0.06315431,-0.10737752,-0.120990306,,,,
A,2007-06-30,0.000780437,0.00046826224,0.0068418314,-0.0005593132,-0.024115505,-0.08235952,-0.107215144,,,,
A,2007-07-31,-0.0049803406,0.003774574,0.020629095,0.032647446,0.017053735,-0.036262125,-0.081353866,,,,
A,2007-08-31,-0.012362638,-0.023846153,-0.040054943,-0.027733516,0.033307694,0.026354395,-0.03304121,,,,
A,2007-09-30,0.0013557484,-0.0015184382,-0.0007049891,-0.008107375,-0.008861171,0.01806399,-0.036515728,,,,
A,2007-10-31,-0.016372683,-0.017584803,-0.002523745,0.012523745,-0.0045210314,0.015606513,-0.025729986,,,,
A,2007-11-30,-0.0021147237,-0.013375628,-0.02389638,-0.05381972,-0.032386996,-0.028186625,-0.041596618,,,,
A,2007-12-31,0.0104336785,0.011540555,-0.0052259117,0.0060288515,-0.008976593,-0.010239521,0.0005266739,,,,
A,2008-01-31,-0.0005906675,-0.0063201417,-0.0044004726,0.026432369,0.06507383,0.07193739,0.08846869,0.021845097,,,
A,2008-02-29,0.026788631,0.030120876,0.025122508,0.04913427,0.1131787,0.15527278,0.19134107,0.13442747,,,
A,2008-03-31,-0.009610012,-0.0014079786,0.0004693262,0.0072913175,0.059564196,0.1376869,0.19553638,0.1654358,,,
A,2008-04-30,0.0088271,0.022178087,0.017245945,0.018702416,0.013426018,0.08520689,0.14989242,0.14940666,,,
A,2008-05-31,-0.0062405276,-0.016742444,-0.030516181,-0.08250869,-0.14213961,-0.13690826,-0.08243782,-0.070704065,,,
A,2008-06-30,0.0019696117,0.015194148,0.03472144,0.037197523,-0.022177828,-0.07820766,-0.029722847,-0.018090883,,,
A,2008-07-31,0.006655574,0.0035496396,-0.005379922,-0.014462008,0.004647809,-0.0654437,-0.04868275,-0.029018996,,,
A,2008-08-31,0.0070003835,0.004027618,0.007882624,0.028150173,0.028411968,0.0016829689,-0.014339758,0.0109536825,,,
A,2008-09-30,0.009215554,0.020364126,0.03617667,0.060468644,0.14763992,0.17899191,0.13642448,0.1831701,,,
A,2008-10-31,-0.00826198,-0.043803517,-0.03388914,0.024988733,0.2748265,0.4493736,0.45354214,0.558603,0.52286166,,
A,2008-11-30,-0.007434944,-0.02315454,-0.019224642,0.0728359,0.24166755,0.54379183,0.646949,0.79895914,0.7758851,,
A,2008-12-31,-0.029643847,-0.020729367,0.003518874,0.060460653,0.20124121,0.5906526,0.8849552,1.0937955,1.1124525,,
A,2009-01-31,0.025258113,0.03119469,0.040265486,0.02181969,-0.025774335,0.19249447,0.5633988,0.7549129,0.8026604,,
A,2009-02-28,0.027156934,0.037202597,0.11636626,0.22768565,0.2474982,0.3663302,0.9400072,1.2103713,1.314672,,
A,2009-03-31,0.018651051,0.041899804,0.011385816,-0.058783345,0.048458036,0.110774234,0.59299284,0.9171877,1.0409781,,
A,2009-04-30,-0.026469514,-0.045454547,-0.067141294,-0.08466594,-0.1592114,-0.09489047,0.22926341,0.5568127,0.6862276,,
A,2009-05-31,-0.010788078,-0.014371915,-0.012342293,0.010861218,-0.05676358,-0.071601756,0.13486561,0.5071777,0.660235,,
A,2009-06-30,0.0031183325,-0.014377154,-0.049581487,-0.04566716,-0.08266864,-0.15901034,-0.06199409,0.30880848,0.4664812,,
A,2009-07-31,-0.009331036,-0.009819121,-0.035788115,-0.09493971,-0.14360034,-0.21164513,-0.2155771,0.10655685,0.26504308,,
A,2009-08-31,0.0001298027,-0.004127726,-0.007398754,-0.038376167,-0.1311838,-0.21071652,-0.2791764,-0.020515965,0.13149467,0.16325107,
A,2009-09-30,0.0015570727,-0.00086237874,0.011498383,-0.00756378,-0.082335606,-0.19615524,-0.29967842,-0.10498024,0.033462092,0.07138385,
A,2009-10-31,0.021153327,0.028536782,0.055173807,0.079688765,0.0867502,-0.02446241,-0.16853678,-0.00086499593,0.14555107,0.20221655,
