strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
no_trend_top10,2006-06-30,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-07-31,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-08-31,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-09-30,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-10-31,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-11-30,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2006-12-31,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2007-01-31,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2007-02-28,0.0,0.0,1000000.0,1000000.0,0,False
no_trend_top10,2007-03-31,0.0,0.0,1000000.0,1000000.0,0,True
no_trend_top10,2007-04-30,0.0,0.0,1000000.0,1000000.0,0,True
no_trend_top10,2007-05-31,0.0,0.0,1000000.0,1000000.0,0,True
no_trend_top10,2007-06-30,-0.01606083033176786,-16060.830331767862,983939.1696682321,1000000.0,10,True
no_trend_top10,2007-07-31,0.020918429466175992,20582.462119712687,1004521.6317879448,983939.1696682321,9,True
no_trend_top10,2007-08-31,0.10141620546435377,101874.77220279413,1106396.403990739,1004521.6317879448,10,True
no_trend_top10,2007-09-30,0.029873796971149644,33052.2615424294,1139448.6655331685,1106396.403990739,10,True
no_trend_top10,2007-10-31,0.021887887216184513,24940.123879821942,1164388.7894129904,1139448.6655331685,10,True
no_trend_top10,2007-11-30,0.04608192701285707,53657.27920831843,1218046.0686213088,1164388.7894129904,10,False
no_trend_top10,2007-12-31,-0.10528466374975645,-128241.57076650727,1089804.4978548016,1218046.0686213088,10,False
no_trend_top10,2008-01-31,-0.015084865031261616,-16439.55376060152,1073364.9440942002,1089804.4978548016,10,False
no_trend_top10,2008-02-29,-0.005732976416653049,-6153.575910954168,1067211.3681832459,1073364.9440942002,10,False
no_trend_top10,2008-03-31,0.09428364940685094,100620.58248079487,1167831.9506640406,1067211.3681832459,10,False
no_trend_top10,2008-04-30,0.0520828213925893,60823.98290299439,1228655.933567035,1167831.9506640406,10,False
no_trend_top10,2008-05-31,-0.018726244490784506,-23008.111407029384,1205647.8221600056,1228655.933567035,10,False
no_trend_top10,2008-06-30,-0.03402453612578377,-41021.60788005564,1164626.21427995,1205647.8221600056,10,False
no_trend_top10,2008-07-31,-0.02940585149860619,-34246.82550850012,1130379.3887714497,1164626.21427995,10,False
no_trend_top10,2008-08-31,-0.09616281791798169,-108700.46734066836,1021678.9214307814,1130379.3887714497,10,False
no_trend_top10,2008-09-30,-0.12332210426171805,-125995.59447068647,895683.3269600949,1021678.9214307814,10,False
no_trend_top10,2008-10-31,-0.10978404375262873,-98331.73755548713,797351.5894046078,895683.3269600949,8,False
no_trend_top10,2008-11-30,0.07140461080369503,56934.579915143666,854286.1693197514,797351.5894046078,7,False
no_trend_top10,2008-12-31,-0.03570303785768243,-30500.611444517588,823785.5578752338,854286.1693197514,8,False
no_trend_top10,2009-01-31,-0.06315475562206609,-52025.97559259777,771759.5822826361,823785.5578752338,8,False
no_trend_top10,2009-02-28,0.05561267191183384,42919.612444298175,814679.1947269343,771759.5822826361,7,False
no_trend_top10,2009-03-31,0.028905908854650914,23549.042548557165,838228.2372754915,814679.1947269343,8,False
no_trend_top10,2009-04-30,0.017477385475676153,14650.038019460299,852878.2752949517,838228.2372754915,8,False
no_trend_top10,2009-05-31,0.002522073298278829,2151.021524803498,855029.2968197552,852878.2752949517,8,False
no_trend_top10,2009-06-30,0.05969509929296986,51041.05877205348,906070.3555918087,855029.2968197552,8,True
no_trend_top10,2009-07-31,-0.02642840970352561,-23945.998577799455,882124.3570140093,906070.3555918087,9,True
no_trend_top10,2009-08-31,0.03272296364293753,28865.72326311907,910990.0802771284,882124.3570140093,8,True
no_trend_top10,2009-09-30,-0.04215296093283549,-38400.92926412246,872589.1510130059,910990.0802771284,9,True
no_trend_top10,2009-10-31,0.09057909287020792,79038.33374714294,951627.4847601488,872589.1510130059,8,True
no_trend_top10,2009-11-30,0.05132750569738644,48844.66514581607,1000472.1499059648,951627.4847601488,9,True
no_trend_top10,2009-12-31,-0.05789022583877259,-57917.55870345865,942554.5912025062,1000472.1499059648,10,True
no_trend_top10,2010-01-31,0.041849284776821725,39445.23550493447,981999.8267074407,942554.5912025062,9,True
no_trend_top10,2010-02-28,0.09563772472281533,93916.22910449856,1075916.0558119393,981999.8267074407,9,True
no_trend_top10,2010-03-31,0.015935251036099413,17144.9924431332,1093061.0482550724,1075916.0558119393,10,True
no_trend_top10,2010-04-30,-0.056981652986612334,-62284.425344853255,1030776.6229102192,1093061.0482550724,10,True
no_trend_top10,2010-05-31,-0.03427266902926368,-35327.46604010408,995449.1568701152,1030776.6229102192,10,False
no_trend_top10,2010-06-30,0.05446495256202353,54217.09110683714,1049666.2479769522,995449.1568701152,9,False
no_trend_top10,2010-07-31,0.012742231675032394,13375.090513184328,1063041.3384901367,1049666.2479769522,10,True
no_trend_top10,2010-08-31,0.07998280222410076,85025.02513249996,1148066.3636226365,1063041.3384901367,10,False
no_trend_top10,2010-09-30,0.05867120636276376,67358.43853825149,1215424.802160888,1148066.3636226365,10,True
no_trend_top10,2010-10-31,0.012185215006243847,14810.21253825181,1230235.0146991399,1215424.802160888,10,True
no_trend_top10,2010-11-30,-0.023449300116918145,-28848.150074021338,1201386.8646251184,1230235.0146991399,10,True
no_trend_top10,2010-12-31,0.006913152832741173,8305.371006401174,1209692.2356315197,1201386.8646251184,10,True
no_trend_top10,2011-01-31,0.05166750997080672,62501.785646099015,1272194.0212776186,1209692.2356315197,10,True
no_trend_top10,2011-02-28,0.03436322755393902,43716.69264592355,1315910.713923542,1272194.0212776186,10,True
no_trend_top10,2011-03-31,0.023406008275332273,30800.217059692826,1346710.930983235,1315910.713923542,10,True
no_trend_top10,2011-04-30,0.012898741807792291,17370.87658848433,1364081.8075717192,1346710.930983235,10,True
no_trend_top10,2011-05-31,0.008569483104971031,11689.476003784193,1375771.2835755034,1364081.8075717192,10,True
no_trend_top10,2011-06-30,0.008442597702651945,11615.083478089062,1387386.3670535923,1375771.2835755034,10,True
no_trend_top10,2011-07-31,-0.03534295415237928,-49034.33276241116,1338352.0342911812,1387386.3670535923,10,True
no_trend_top10,2011-08-31,-0.09593990026039062,-128401.36068318681,1209950.6736079943,1338352.0342911812,10,False
no_trend_top10,2011-09-30,0.08406526233551645,101714.82078989089,1311665.4943978852,1209950.6736079943,10,False
no_trend_top10,2011-10-31,0.01552518517588316,20363.849689343504,1332029.3440872286,1311665.4943978852,10,False
no_trend_top10,2011-11-30,0.013957892470985318,18592.32235296664,1350621.6664401952,1332029.3440872286,10,False
no_trend_top10,2011-12-31,0.005611502148881034,7579.016383554438,1358200.6828237497,1350621.6664401952,10,False
no_trend_top10,2012-01-31,0.023140093234402893,31428.890431571243,1389629.573255321,1358200.6828237497,10,True
no_trend_top10,2012-02-29,0.030404593813166604,42251.12272559208,1431880.695980913,1389629.573255321,10,True
no_trend_top10,2012-03-31,0.0317719201027679,45493.59906940126,1477374.2950503142,1431880.695980913,10,True
no_trend_top10,2012-04-30,-0.02250441799296797,-33247.44866787866,1444126.8463824354,1477374.2950503142,10,True
