strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,ICE,Financials,1.552232888452921,100000.0,0.01300355251905394
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,AZO,Consumer Discretionary,1.5475490789829562,100000.0,-0.07707423580786033
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,CF,Materials,1.5299081744340004,100000.0,-0.060016353230693764
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,DECK,Consumer Discretionary,1.439012778891829,100000.0,0.018976082229689606
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,MA,Financials,1.2785110886481172,100000.0,-0.028398791541014212
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,ACN,Information Technology,1.2555342519563808,100000.0,-0.011496949787165311
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,TPL,Energy,1.1721766997325336,100000.0,-0.010586319215344031
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,WAT,Health Care,1.157963171062682,100000.0,-0.018530997304582186
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,BKNG,Consumer Discretionary,1.1574892318895764,100000.0,-0.0749601276194426
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-06-30,AAPL,Information Technology,1.1285056167132004,100000.0,0.08847583643968027
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,AMZN,Consumer Discretionary,1.898664120920608,100000.0,0.02317541613316254
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,CF,Materials,1.440828333445456,100000.0,0.08704027218766885
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,AZO,Consumer Discretionary,1.4117853707086947,100000.0,-0.04533648170011795
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,ICE,Financials,1.2997617524930791,100000.0,-0.029280628201626246
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,WAT,Health Care,1.2426574063165314,100000.0,0.059724612736660854
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,MA,Financials,1.1964389371509527,100000.0,-0.09169871370072424
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,DECK,Consumer Discretionary,1.1695538766741218,100000.0,-0.08624369421808298
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,BKNG,Consumer Discretionary,1.1630711753782235,100000.0,0.3084200567459272
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-07-31,ACN,Information Technology,1.143259084308409,100000.0,-0.019976218785741184
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,AMZN,Consumer Discretionary,1.708423290092809,100000.0,0.16583229036295366
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,MA,Financials,1.517205364874469,100000.0,0.0701525999858752
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,CF,Materials,1.4680955055788008,100000.0,0.1956213576929231
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,GRMN,Consumer Discretionary,1.4141719199347798,100000.0,0.16465079984289677
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,AZO,Consumer Discretionary,1.3887229953673337,100000.0,-0.04167010479412492
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,BKNG,Consumer Discretionary,1.3128605330796967,100000.0,0.07198937070852107
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,MGM,Consumer Discretionary,1.3053677436038817,100000.0,0.06921697549398598
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,ROK,Industrials,1.2632057354907895,100000.0,-0.011237553341743256
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,WAT,Health Care,1.2298671542581,100000.0,0.08372469635627544
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-08-31,MOS,Materials,1.2164254503302632,100000.0,0.25046728972037835
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-09-30,AMZN,Consumer Discretionary,1.9097002896560724,100000.0,-0.04570755726825104
no_trend_top10,Ablation test: remove trend to see whether the trend factor helps.,2007-09-30,GRMN,Consumer Discretionary,1.624006088833534,100000.0,-0.007852193995486423
