month,ticker,is_buy,status,size,price,value,commission
2017-10-31,APO,True,Completed,4523,22.048496395,99725.349194585,0.0
2017-10-31,BA,True,Completed,415,241.3277601216,100151.020450464,0.0
2017-10-31,HD,True,Completed,751,133.5847874268,100322.17535752681,0.0
2017-10-31,KMB,True,Completed,1147,87.2243341355,100046.3112534185,0.0
2017-10-31,LII,True,Completed,618,161.4867613331,99798.8185038558,0.0
2017-10-31,LMT,True,Completed,406,246.34581996060004,100016.40290400361,0.0
2017-10-31,MO,True,Completed,2942,33.9438144972,99862.7022507624,0.0
2017-10-31,SPGI,True,Completed,691,145.2137282274,100342.6862051334,0.0
2017-10-31,TPL,True,Completed,2451,40.8534440913,100131.79146777629,0.0
2017-10-31,UPS,True,Margin,0,0.0,0.0,0.0
2017-11-30,ABBV,True,Margin,0,0.0,0.0,0.0
2017-11-30,BA,False,Completed,-415,244.77733030360002,100151.020450464,0.0
2017-11-30,CSX,True,Completed,6689,15.037424428099998,100585.33199956089,0.0
2017-11-30,MO,False,Completed,-2942,34.5921493913,99862.7022507624,0.0
2017-11-30,TPL,False,Completed,-2451,41.2582634815,100131.79146777629,0.0
2017-11-30,UPS,True,Completed,1199,83.6770402562,100328.77126718381,0.0
2017-11-30,URI,True,Completed,733,138.2036941583,101303.3078180339,0.0
2017-12-31,TER,True,Margin,0,0.0,0.0,0.0
2017-12-31,AMAT,True,Completed,2080,47.3621836706,98513.342034848,0.0
2017-12-31,APO,False,Completed,-4523,23.3701001552,99725.349194585,0.0
2017-12-31,CSX,False,Completed,-6689,16.4314622281,100585.33199956089,0.0
2017-12-31,LII,False,Completed,-618,189.3776279053,99798.8185038558,0.0
2017-12-31,LRCX,True,Completed,5841,16.9109644682,98776.9434587562,0.0
2017-12-31,MU,True,Completed,2419,40.69187781,98433.65242239,0.0
2017-12-31,NVDA,True,Completed,20153,4.9273333087,99300.5481702311,0.0
2017-12-31,UPS,False,Completed,-1199,87.11343199,100328.77126718381,0.0
2017-12-31,URI,False,Completed,-733,153.3711106521,101303.3078180339,0.0
2017-12-31,WYNN,True,Completed,695,144.9972170089,100773.0658211855,0.0
2018-01-31,ALGN,True,Margin,0,0.0,0.0,0.0
2018-01-31,CNC,True,Margin,0,0.0,0.0,0.0
2018-01-31,KLAC,True,Margin,0,0.0,0.0,0.0
2018-01-31,KMB,False,Margin,0,0.0,0.0,0.0
2018-01-31,LII,True,Margin,0,0.0,0.0,0.0
2018-01-31,LMT,False,Margin,0,0.0,0.0,0.0
2018-01-31,ABBV,True,Completed,1479,67.8810219119,100396.03140770011,0.0
2018-01-31,AMAT,False,Completed,-2080,47.0707240788,98513.342034848,0.0
2018-01-31,LRCX,False,Completed,-5841,16.5249312654,98776.9434587562,0.0
2018-02-28,ALGN,True,Completed,381,261.59,99665.79,0.0
2018-02-28,LII,True,Completed,506,196.9503133523,99656.85855626379,0.0
2018-02-28,MU,False,Completed,-2419,41.9692887837,98433.65242239,0.0
2018-02-28,NVDA,False,Completed,-20153,5.8966812543,99300.5481702311,0.0
2018-02-28,TPL,True,Completed,1844,54.0085599842,99591.7846108648,0.0
2018-02-28,UPS,True,Completed,1098,85.2052125839,93555.32341712221,0.0
2018-03-31,NVDA,True,Margin,0,0.0,0.0,0.0
2018-03-31,ALGN,False,Completed,-381,255.0,99665.79,0.0
2018-03-31,ALLE,True,Completed,1324,75.5381002723,100012.4447605252,0.0
2018-03-31,LMT,False,Completed,-406,282.7215186939,100016.40290400361,0.0
2018-03-31,LOW,True,Completed,1300,76.8525819817,99908.35657621,0.0
2018-03-31,TPL,False,Completed,-1844,55.1705228721,99591.7846108648,0.0
2018-04-30,UNH,True,Margin,0,0.0,0.0,0.0
2018-04-30,URI,True,Margin,0,0.0,0.0,0.0
2018-04-30,ABBV,False,Completed,-1479,66.1566090532,100396.03140770011,0.0
2018-04-30,ALLE,False,Completed,-1324,76.7407881802,100012.4447605252,0.0
2018-04-30,APO,True,Completed,4450,22.3801366753,99591.60820508501,0.0
2018-04-30,AVGO,True,Completed,5261,18.8680991626,99265.0696944386,0.0
2018-04-30,HD,False,Completed,-751,145.6793201181,100322.17535752681,0.0
2018-04-30,KMB,False,Completed,-1147,82.6530759061,100046.3112534185,0.0
2018-04-30,LII,False,Completed,-506,185.2947480424,99656.85855626379,0.0
2018-04-30,LOW,False,Completed,-1300,74.9477842593,99908.35657621,0.0
2018-04-30,MSCI,True,Completed,730,136.8435111543,99895.76314263899,0.0
2018-04-30,MU,True,Completed,1966,50.2578332693,98806.9002074438,0.0
2018-04-30,NVR,True,Completed,35,2930.0,102550.0,0.0
2018-04-30,ON,True,Completed,4088,24.33,99461.04,0.0
2018-04-30,TPL,True,Completed,1948,51.5876886802,100492.81754902961,0.0
2018-04-30,UPS,False,Completed,-1098,75.2012087211,93555.32341712221,0.0
2018-04-30,WYNN,False,Completed,-695,168.648828722,100773.0658211855,0.0
2018-05-31,MPC,True,Margin,0,0.0,0.0,0.0
2018-05-31,ALGN,True,Completed,400,249.21,99684.0,0.0
2018-05-31,APO,False,Completed,-4450,21.8263231237,99591.60820508501,0.0
2018-05-31,AVGO,False,Completed,-5261,18.6180837431,99265.0696944386,0.0
2018-05-31,BA,True,Completed,313,318.4515744721,99675.3428097673,0.0
2018-05-31,HD,True,Completed,658,151.912733872,99958.57888777599,0.0
2018-05-31,LMT,True,Completed,388,257.0771705334,99745.94216695921,0.0
2018-05-31,MSCI,False,Completed,-730,136.9625055118,99895.76314263899,0.0
2018-05-31,NVR,False,Completed,-35,3075.6,102550.0,0.0
2018-05-31,TPL,False,Completed,-1948,57.8145592701,100492.81754902961,0.0
2018-05-31,UPS,True,Completed,1222,81.8469975106,100017.0309579532,0.0
2018-05-31,URI,True,Completed,691,143.8643579581,99410.27134904709,0.0
2018-06-30,KMB,True,Margin,0,0.0,0.0,0.0
2018-06-30,ABBV,True,Completed,1421,69.6407729885,98959.5384166585,0.0
2018-06-30,ALGN,False,Completed,-400,333.17,99684.0,0.0
2018-06-30,DG,True,Completed,1273,78.5330081965,99972.5194341445,0.0
2018-06-30,IBKR,True,Completed,5775,17.4867001114,100985.69314333501,0.0
2018-06-30,ON,False,Completed,-4088,25.48,99461.04,0.0
2018-06-30,URI,False,Completed,-691,155.4248006357,99410.27134904709,0.0
2018-07-31,ABBV,False,Completed,-1421,65.4664511521,98959.5384166585,0.0
2018-07-31,DECK,True,Completed,5314,18.8116666667,99965.1966668438,0.0
2018-07-31,DG,False,Completed,-1273,88.5044564372,99972.5194341445,0.0
2018-07-31,IBKR,False,Completed,-5775,15.1979646682,100985.69314333501,0.0
2018-07-31,ORLY,True,Completed,5483,18.1633333333,99589.5566664839,0.0
2018-07-31,STZ,True,Completed,522,188.7773061975,98541.75383509499,0.0
2018-07-31,TPL,True,Completed,1416,70.5982748413,99967.1571752808,0.0
2018-08-31,STX,True,Margin,0,0.0,0.0,0.0
2018-08-31,ANET,True,Completed,6256,16.03125,100291.5,0.0
2018-08-31,DECK,False,Completed,-5314,18.8,99965.1966668438,0.0
2018-08-31,LMT,False,Completed,-388,262.8287087896,99745.94216695921,0.0
2018-08-31,MSCI,True,Completed,655,152.5443631634,99916.557872027,0.0
2018-08-31,ON,True,Completed,4535,22.0,99770.0,0.0
2018-08-31,STZ,False,Completed,-522,183.5963489811,98541.75383509499,0.0
2018-08-31,UPS,False,Completed,-1222,87.0984466814,100017.0309579532,0.0
2018-09-30,GWW,True,Margin,0,0.0,0.0,0.0
2018-09-30,MPC,True,Margin,0,0.0,0.0,0.0
2018-09-30,MSCI,False,Margin,0,0.0,0.0,0.0
2018-09-30,ABBV,True,Completed,1450,68.9322154111,99951.71234609501,0.0
2018-09-30,ANET,False,Completed,-6256,18.05625,100291.5,0.0
2018-09-30,DLTR,True,Completed,1242,80.45,99918.90000000001,0.0
2018-09-30,F,True,Completed,14917,6.738908739299999,100524.3016641381,0.0
2018-09-30,MU,False,Completed,-1966,50.8429069977,98806.9002074438,0.0
2018-09-30,ON,False,Completed,-4535,21.2,99770.0,0.0
2018-09-30,ORLY,False,Completed,-5483,22.368,99589.5566664839,0.0
2018-09-30,SPGI,False,Completed,-691,194.02474694240001,100342.6862051334,0.0
2018-09-30,STX,True,Completed,2513,38.0723612655,95675.8438602015,0.0
2018-09-30,TPL,False,Completed,-1416,85.2856888238,99967.1571752808,0.0
2018-09-30,UPS,True,Completed,1111,90.6036472171,100660.6520581981,0.0
2018-09-30,VLO,True,Completed,1158,86.6432934093,100332.9337679694,0.0
2018-10-31,ABBV,False,Completed,-1450,68.0487453168,99951.71234609501,0.0
2018-10-31,AMD,True,Completed,3237,30.69,99343.53,0.0
2018-10-31,DLTR,False,Completed,-1242,81.91,99918.90000000001,0.0
2018-10-31,F,False,Completed,-14917,6.6681961607,100524.3016641381,0.0
2018-10-31,MPC,True,Completed,1593,64.0467019482,102026.3962034826,0.0
2018-10-31,MSCI,False,Completed,-655,164.2754363054,99916.557872027,0.0
2018-10-31,ORLY,True,Completed,4318,23.292,100574.856,0.0
2018-10-31,SPGI,True,Completed,547,183.7568092066,100514.9746360102,0.0
2018-10-31,STX,False,Completed,-2513,35.9601347495,95675.8438602015,0.0
2018-10-31,TPL,True,Completed,1141,88.2473358987,100690.2102604167,0.0
