month,ticker,size,price,market_value
2017-10-31,APO,4523,23.1942543689,104907.6125105347
2017-10-31,BA,415,244.4835482277,101460.6725144955
2017-10-31,HD,751,134.8701952474,101287.5166307974
2017-10-31,KMB,1147,83.3073839863,95553.5694322861
2017-10-31,LII,618,172.7968015541,106788.4233604338
2017-10-31,LMT,406,244.2611663151,99170.0335239306
2017-10-31,MO,2942,34.4099726442,101234.13951923641
2017-10-31,SPGI,691,144.8619193863,100099.5862959333
2017-10-31,TPL,2451,41.1098633559,100760.2750853109
2017-11-30,APO,4523,23.29569678,105366.43653594
2017-11-30,CSX,6689,16.5861672862,110944.87297739179
2017-11-30,HD,751,147.0269839448,110417.2649425448
2017-11-30,KMB,1147,88.6756048902,101710.91880905941
2017-11-30,LII,618,189.6217294928,117186.2288265504
2017-11-30,LMT,406,254.5338321882,103340.7358684092
2017-11-30,SPGI,691,153.585569007,106127.628183837
2017-11-30,UPS,1199,86.7989688669,104071.96367141309
2017-11-30,URI,733,153.7664218696,112710.78723041681
2017-12-31,AMAT,2080,46.5606697931,96846.19316964799
2017-12-31,HD,751,154.9662121403,116379.6253173653
2017-12-31,KMB,1147,90.0656331884,103305.2812670948
2017-12-31,LMT,406,256.0732226874,103965.7284110844
2017-12-31,LRCX,5841,16.4285395519,95959.09952264788
2017-12-31,MU,2419,40.0970528528,96994.77085092319
2017-12-31,NVDA,20153,4.7836987368,96405.8806427304
2017-12-31,SPGI,691,157.2238058363,108641.6498328833
2017-12-31,WYNN,695,153.4049627583,106616.4491170185
2018-01-31,ABBV,1479,78.9797305101,116811.0214244379
2018-01-31,HD,751,164.2627131271,123361.2975584521
2018-01-31,KMB,1147,87.3336572438,100171.70485863861
2018-01-31,LMT,406,283.0324967159,114911.1936666554
2018-01-31,MU,2419,42.6323723425,103127.7086965075
2018-01-31,NVDA,20153,6.0766571034,122462.87060482019
2018-01-31,SPGI,691,168.0828290257,116145.23485675869
2018-01-31,WYNN,695,150.6751751773,104719.2467482235
2018-02-28,ABBV,1479,81.5204258153,120568.7097808287
2018-02-28,ALGN,381,262.52,100020.12
2018-02-28,HD,751,149.0301877634,111921.6710103134
2018-02-28,KMB,1147,82.7952928332,94966.2008796804
2018-02-28,LII,506,185.4497635803,93837.58037163179
2018-02-28,LMT,406,282.7054759362,114778.4232300972
2018-02-28,SPGI,691,178.4781061438,123328.3713453658
2018-02-28,TPL,1844,54.4214555717,100353.1640742148
2018-02-28,UPS,1098,75.2588728321,82634.2423696458
2018-02-28,WYNN,695,152.8773612455,106249.7660656225
2018-03-31,ABBV,1479,66.6140749669,98522.2168760451
2018-03-31,ALLE,1324,76.7497868655,101616.717809922
2018-03-31,HD,751,146.5756817265,110078.3369766015
2018-03-31,KMB,1147,82.9392551211,95131.3256239017
2018-03-31,LII,506,185.6763307547,93952.22336187819
2018-03-31,LOW,1300,75.2909910561,97878.28837293
2018-03-31,SPGI,691,177.789504483,122852.547597753
2018-03-31,UPS,1098,75.4390731789,82832.10235043221
2018-03-31,WYNN,695,166.4400931148,115675.86471478599
2018-04-30,APO,4450,21.8794285328,97363.45697095999
2018-04-30,AVGO,5261,18.5027540495,97342.9890544195
2018-04-30,MSCI,730,137.1455737542,100116.268840566
2018-04-30,MU,1966,44.8361500528,88147.8710038048
2018-04-30,NVR,35,3100.0,108500.0
2018-04-30,ON,4088,22.08,90263.04
2018-04-30,SPGI,691,175.5003692321,121270.75513938112
2018-04-30,TPL,1948,55.3219834837,107767.2238262476
2018-05-31,ALGN,400,331.95,132780.0
2018-05-31,BA,313,338.9571805339,106093.5975071107
2018-05-31,HD,658,154.2539868902,101499.1233737516
2018-05-31,LMT,388,253.9087258905,98516.585645514
2018-05-31,MU,1966,56.1573266973,110405.3042868918
2018-05-31,ON,4088,25.13,102731.44
2018-05-31,SPGI,691,184.2408299839,127310.4135188749
2018-05-31,UPS,1222,84.3595931992,103087.4228894224
2018-05-31,URI,691,153.8531975027,106312.5594743657
2018-06-30,ABBV,1421,65.88601672,93624.02975912
2018-06-30,BA,313,322.9314051594,101077.5298148922
2018-06-30,DG,1273,88.4954812363,112654.74761380989
2018-06-30,HD,658,161.3237890232,106151.0531772656
2018-06-30,IBKR,5775,15.3240592405,88496.4421138875
