month,ticker,size,price,market_value
2010-12-31,AMD,13717,8.18,112205.06
2010-12-31,BKNG,6462,15.6898432456,101387.7670530672
2010-12-31,CMG,19343,4.2532,82269.6476
2010-12-31,CMI,1497,75.6407810622,113234.24925011341
2010-12-31,DECK,7802,13.29,103688.57999999999
2010-12-31,FFIV,758,130.16,98661.28
2010-12-31,NFLX,33997,2.50999749,85332.38466753
2010-12-31,UAL,3612,23.82,86037.84
2010-12-31,VRSN,3474,29.8146526129,103576.10317721461
2011-01-31,CMG,19343,4.3784,84691.3912
2011-01-31,CMI,1497,72.8010717104,108983.20435046879
2011-01-31,DECK,7802,12.2316666667,95431.4633335934
2011-01-31,FFIV,758,108.38,82152.04
2011-01-31,IT,3012,35.42,106685.04000000001
2011-01-31,NFLX,33997,3.058282656,103972.43545603199
2011-01-31,VRSN,3474,30.7090009313,106683.0692353362
2011-02-28,AAPL,9845,10.5731619473,104092.7793711685
2011-02-28,AMD,12771,9.21,117620.91000000002
2011-02-28,CMI,1497,69.6926259353,104329.8610251441
2011-02-28,DECK,7802,14.7033333333,114715.4066664066
2011-02-28,RCL,2719,35.8648379214,97516.49430828661
2011-02-28,SWKS,4017,28.1584058625,113112.3163496625
2011-02-28,VRSN,3474,32.205665464,111882.481821936
2011-03-31,CMG,20408,5.4474,111170.5392
2011-03-31,CMI,1497,75.5508866201,113099.6772702897
2011-03-31,DE,1482,72.7784996711,107857.73651257019
2011-03-31,DECK,7802,14.3583333333,112023.71666640659
2011-03-31,NFLX,33870,3.396853746,115051.43637702
2011-03-31,SWKS,4017,25.3848733986,101971.0364421762
2011-03-31,TER,5835,16.3829610713,95594.57785103549
2011-03-31,VRSN,3474,33.0452577629,114799.2254683146
2011-03-31,WY,7091,14.2110979885,100770.8958364535
2011-04-30,CMG,20408,5.3358,108893.0064
2011-04-30,IT,2399,42.91,102941.09
2011-04-30,MO,9662,10.6709461798,103102.6819892276
2011-04-30,NDSN,2040,48.5381040069,99017.732174076
2011-04-30,NFLX,33870,3.323853819,112578.92884953
2011-04-30,TER,5835,14.8099760387,86416.2101858145
2011-04-30,TPL,22739,4.677264442,106356.31614663801
2011-04-30,VRSN,3474,33.747960013,117240.41308516198
2011-04-30,YUM,3647,28.7669097623,104912.9199031081
2011-05-31,BIIB,1024,94.73,97003.52
2011-05-31,CMG,20408,5.7814,117986.8112
2011-05-31,IT,2399,39.03,93632.97
2011-05-31,MO,9662,11.155989188,107789.16753445599
2011-05-31,NDSN,2040,44.4130314351,90602.584127604
2011-05-31,NFLX,33870,3.86856756,131028.3832572
2011-05-31,TER,5835,14.7271873527,85933.13820300449
2011-05-31,TPL,22739,4.5807650914,104162.0174133446
2011-05-31,VRSN,3474,34.496445082,119840.650214868
2011-06-30,BIIB,1024,106.92,109486.08
2011-06-30,BKNG,4942,20.1028693598,99348.3803761316
2011-06-30,MO,9662,10.6481501358,102882.4266120996
2011-06-30,NFLX,33870,3.752710533,127104.30575271
2011-06-30,ROST,5907,16.5934650512,98017.5980574384
2011-06-30,TPL,22739,4.4517710615,101228.8221674485
2011-06-30,VRSN,3474,32.9597673456,114502.2317586144
2011-06-30,YUM,3370,29.6249831333,99836.193159221
2011-07-31,BIIB,1024,101.87,104314.88
2011-07-31,BKNG,4942,21.1128625228,104339.7665876776
2011-07-31,CF,5048,21.718426602,109634.61748689601
2011-07-31,DPZ,4994,21.3167925556,106456.0620226664
2011-07-31,MO,9662,10.603799643,102453.912150666
2011-07-31,NFLX,33870,3.799853343,128701.03272741
2011-07-31,TPR,2337,43.2056466279,100971.5961694023
2011-07-31,TSCO,18289,5.3890774466,98560.8374208674
2011-07-31,VRSN,3474,30.7434052258,106802.5897544292
2011-07-31,YUM,3370,28.4545632588,95891.878182156
2011-08-31,BKNG,4942,21.0975476964,104264.0807156088
2011-08-31,CF,5048,25.6162236064,129310.69676510719
2011-08-31,FCX,2483,35.8232228345,88949.06229806351
2011-08-31,NFLX,33870,3.357282357,113711.15343158999
2011-08-31,TPR,2337,37.6242480394,87927.8676680778
2011-08-31,TSCO,18289,5.0275013984,91947.9730753376
2011-08-31,VRSN,3474,30.684302236,106597.265967864
2011-09-30,AAPL,8680,11.4146205197,99078.906110996
2011-09-30,CF,5048,17.2956817007,87308.6012251336
2011-09-30,DECK,6744,15.5266666667,104711.84000022481
2011-09-30,DLTR,2799,37.57,105158.43000000001
2011-09-30,IBM,1039,97.9015287775,101719.68839982251
2011-09-30,LULU,1827,48.69,88956.62999999999
2011-09-30,NFLX,33870,1.618141239,54806.44376493
2011-09-30,VRSN,3474,28.1822756652,97905.22566090479
2011-10-31,AAPL,8680,12.1168837039,105174.55054985199
2011-10-31,BKNG,5665,19.9375477728,112946.208132912
2011-10-31,CF,5048,22.7455245122,114819.4077375856
2011-10-31,DECK,6744,19.2066666667,129529.7600002248
2011-10-31,LULU,1827,56.48,103188.95999999999
2011-10-31,MNST,13747,7.4241592425,102059.9171066475
2011-10-31,RL,989,123.6870251254,122326.4678490206
2011-10-31,WYNN,1257,92.1166887281,115790.6777312217
2011-11-30,DECK,6744,18.1575,122454.18
2011-11-30,F,16254,5.5831524917,90748.5606000918
2011-11-30,IT,2596,37.83,98206.68
2011-11-30,JBL,5622,17.6026575219,98962.1405881218
2011-11-30,LULU,1827,49.7,90801.90000000001
2011-11-30,NVDA,294758,0.3582866185,105607.847095823
2011-11-30,ROK,1984,56.2115563939,111523.72788549759
2011-11-30,TDY,1835,56.68,104007.8
2011-11-30,TER,7591,12.381507918,93988.026605538
2011-12-31,BA,1780,59.9657348827,106739.008091206
2011-12-31,IBM,946,103.3581390954,97776.79958424841
2011-12-31,IT,2596,34.77,90262.92000000001
2011-12-31,JBL,5622,17.0729278185,95984.00019560699
2011-12-31,LMT,1966,52.6294280233,103469.4554938078
2011-12-31,ROK,1984,54.9679047397,109056.3230035648
2011-12-31,ROST,5397,19.7696572271,106696.8400546587
2011-12-31,SMCI,73583,1.568,115378.144
2011-12-31,TPL,25181,4.0066924241,100892.52193126209
2011-12-31,TSCO,16871,5.7564221837,97116.59866120269
2012-01-31,BA,1780,60.6442837573,107946.825087994
2012-01-31,IBM,946,108.2596127353,102413.59364759379
2012-01-31,IT,2596,37.91,98414.35999999999
2012-01-31,JBL,5622,19.6781558681,110630.5922904582
2012-01-31,ROK,1984,58.3392495854,115745.0711774336
2012-01-31,ROST,5397,21.1381018364,114082.3356110508
2012-01-31,SMCI,73583,1.687,124134.52100000001
2012-01-31,TSCO,16871,6.6278862405,111819.06876347549
2012-02-29,AMD,14903,7.35,109537.04999999999
2012-02-29,BA,1780,61.6310624274,109703.291120772
2012-02-29,F,15224,6.5474030366,99677.6638291984
2012-02-29,IBM,946,111.0108980966,105016.3095993836
2012-02-29,LULU,1584,67.02,106159.68
2012-02-29,ROST,5397,22.2427314651,120044.0217171447
2012-02-29,ULTA,1328,82.3107747265,109308.708836792
2012-02-29,URI,2712,40.1867598666,108986.4927582192
2012-03-31,DAL,11856,8.5243425191,101064.60490644959
2012-03-31,DLTR,2259,47.245,106726.45499999999
2012-03-31,F,15224,6.624036211,100844.327276264
2012-03-31,LULU,1584,74.73,118372.32
2012-03-31,MGM,7696,12.8508222697,98899.9281876112
2012-03-31,POOL,3313,31.1470441172,103190.1571602836
2012-03-31,STX,7045,14.5698647888,102644.69743709601
2012-03-31,ULTA,1328,92.89,123357.92
2012-03-31,URI,2712,41.3534100451,112150.4480423112
2012-03-31,VRSN,2747,37.7766610193,103772.48782001711
2012-04-30,AAPL,5571,17.4811446845,97387.4570373495
2012-04-30,DAL,11856,9.4227729712,111716.3963465472
2012-04-30,F,15224,6.0160585388,91588.4751946912
2012-04-30,LULU,1584,74.14,117437.76
2012-04-30,MGM,7696,12.6621170969,97447.6531777424
2012-04-30,PM,2215,45.5935537784,100989.721619156
2012-04-30,STX,7045,16.7616956817,118086.1460775765
2012-04-30,ULTA,1328,88.18,117103.04000000001
2012-04-30,URI,2712,45.0076283727,122060.68814676239
2012-04-30,VRSN,2747,40.4953985528,111240.85982454159
2012-05-31,AAPL,5571,17.294054109,96345.175441239
2012-05-31,DLTR,1967,51.59,101477.53000000001
2012-05-31,ISRG,1556,58.1221641,90438.0873396
2012-05-31,MNST,9230,12.0999879,111682.888317
2012-05-31,SBUX,4578,20.9627941051,95967.6714131478
2012-05-31,STX,7045,12.767442452,89946.63207434
2012-05-31,TJX,5785,17.6454709757,102079.0495944245
2012-05-31,TSCO,12365,7.5224338372,93014.89439697801
2012-05-31,ULTA,1328,89.37,118683.36
2012-05-31,URI,2712,33.3122013769,90342.6901341528
2012-06-30,AAPL,5571,17.4817433743,97390.79233822529
2012-06-30,DLTR,1967,53.8,105824.59999999999
2012-06-30,MNST,9230,11.8666548,109529.223804
