month,ticker,reason,is_buy,status,exectype,size,price,value,commission
2010-06-30,ACN,rebalance_entry,True,Completed,0,3602,27.5781790775,99336.601037155,0.0
2010-06-30,BA,rebalance_entry,True,Completed,0,1977,50.6464560994,100128.0437085138,0.0
2010-06-30,BKNG,rebalance_entry,True,Completed,0,13321,7.5050502843,99974.77483716031,0.0
2010-06-30,CL,rebalance_entry,True,Completed,0,3734,26.6652538595,99568.057911373,0.0
2010-06-30,IT,rebalance_entry,True,Completed,0,4040,24.46,98818.40000000001,0.0
2010-06-30,MA,rebalance_entry,True,Completed,0,5399,18.4503672078,99613.53255491219,0.0
2010-06-30,MO,rebalance_entry,True,Completed,0,13210,7.555026746699999,99801.903323907,0.0
2010-06-30,STX,rebalance_entry,True,Completed,0,12594,7.8624861482,99020.1505504308,0.0
2010-06-30,WDC,rebalance_entry,True,Completed,0,4744,20.7330294643,98357.4917786392,0.0
2010-06-30,YUM,rebalance_entry,True,Completed,0,4647,21.4238779391,99556.76078299769,0.0
2010-07-31,SBUX,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-07-31,STX,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2010-07-31,ACN,rebalance_exit,False,Completed,0,-3602,28.3771177418,99336.601037155,0.0
2010-07-31,BKNG,rebalance_exit,False,Completed,0,-13321,6.937223646,99974.77483716031,0.0
2010-07-31,CL,rebalance_exit,False,Completed,0,-3734,26.9566961352,99568.057911373,0.0
2010-07-31,CMI,rebalance_entry,True,Completed,0,2246,44.3356594467,99577.89111728819,0.0
2010-07-31,DECK,rebalance_entry,True,Completed,0,12598,7.946103165,100105.00767267,0.0
2010-07-31,MA,rebalance_exit,False,Completed,0,-5399,18.3308225026,99613.53255491219,0.0
2010-07-31,MO,rebalance_exit,False,Completed,0,-13210,7.6487538935,99801.903323907,0.0
2010-07-31,MU,rebalance_entry,True,Completed,0,12079,8.2982957144,100235.1139342376,0.0
2010-07-31,NFLX,rebalance_entry,True,Completed,0,64427,1.55428416,100137.86557632,0.0
2010-07-31,RCL,rebalance_entry,True,Completed,0,5362,18.7555329619,100567.16774170779,0.0
2010-07-31,WDC,rebalance_exit,False,Completed,0,-4744,18.2261736821,98357.4917786392,0.0
2010-08-31,AKAM,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-08-31,CL,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-08-31,BA,rebalance_exit,False,Completed,0,-1977,54.3817011891,100128.0437085138,0.0
2010-08-31,CMI,rebalance_exit,False,Completed,0,-2246,55.6878299941,99577.89111728819,0.0
2010-08-31,GEN,rebalance_entry,True,Completed,0,21267,4.752834913,101078.540094771,0.0
2010-08-31,RCL,rebalance_exit,False,Completed,0,-5362,24.2101988801,100567.16774170779,0.0
2010-08-31,STX,rebalance_exit,False,Completed,0,-12594,6.642534319800001,99020.1505504308,0.0
2010-08-31,SWKS,rebalance_entry,True,Completed,0,7280,13.9460106943,101526.957854504,0.0
2010-08-31,WDC,rebalance_entry,True,Completed,0,6257,16.2219000978,101500.42891193459,0.0
2010-09-30,MO,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-09-30,TPR,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-09-30,BKNG,rebalance_entry,True,Completed,0,8736,11.6852125005,102082.016404368,0.0
2010-09-30,CNC,rebalance_entry,True,Completed,0,19782,5.125,101382.75,0.0
2010-09-30,GEN,rebalance_exit,False,Completed,0,-21267,5.0174855222,101078.540094771,0.0
2010-09-30,LMT,rebalance_entry,True,Completed,0,2331,43.244470285,100802.86023433499,0.0
2010-09-30,SWKS,rebalance_exit,False,Completed,0,-7280,14.2829087054,101526.957854504,0.0
2010-09-30,WDC,rebalance_exit,False,Completed,0,-6257,15.1137971796,101500.42891193459,0.0
2010-10-31,CL,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-10-31,CMG,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-10-31,CNC,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2010-10-31,CPB,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-10-31,DE,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-10-31,DECK,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2010-10-31,IT,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2010-10-31,MO,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-10-31,AKAM,rebalance_entry,True,Completed,0,1992,50.52,100635.84000000001,0.0
2010-10-31,BMY,rebalance_entry,True,Completed,0,6275,15.9338868465,99985.1399617875,0.0
2010-10-31,LMT,rebalance_exit,False,Completed,0,-2331,44.1329902116,100802.86023433499,0.0
2010-10-31,MU,rebalance_exit,False,Completed,0,-12079,7.0988945712,100235.1139342376,0.0
2010-11-30,AKAM,rebalance_exit,False,Completed,0,-1992,51.69,100635.84000000001,0.0
2010-11-30,BA,rebalance_entry,True,Completed,0,1785,56.0592950105,100065.8415937425,0.0
2010-11-30,BMY,rebalance_exit,False,Completed,0,-6275,15.8780506514,99985.1399617875,0.0
2010-11-30,CLX,rebalance_entry,True,Completed,0,2394,41.7747310214,100008.7060652316,0.0
2010-11-30,CMG,rebalance_entry,True,Completed,0,23785,4.2378,100796.073,0.0
2010-11-30,CMI,rebalance_entry,True,Completed,0,1655,60.2697188279,99746.3846601745,0.0
2010-11-30,CNC,rebalance_exit,False,Completed,0,-19782,5.6075,101382.75,0.0
2010-11-30,DECK,rebalance_exit,False,Completed,0,-12598,9.75,100105.00767267,0.0
2010-11-30,MMM,rebalance_entry,True,Completed,0,2253,44.5551110408,100382.6651749224,0.0
2010-11-30,TPL,rebalance_entry,True,Completed,0,28401,3.5647567339,101242.6559994939,0.0
2010-12-31,AMD,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2010-12-31,CDNS,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
