month,ticker,size,price,market_value
2010-06-30,BMY,7511,14.4890697114,108827.40260232541
2010-06-30,CPB,4689,21.3353936547,100041.66084688829
2010-06-30,DECK,12437,7.937214285,98715.134062545
2010-06-30,GRMN,5288,16.4309038522,86886.6195704336
2010-06-30,HSY,3122,32.7974133334,102393.5244268748
2010-06-30,MO,13210,7.6069989095,100488.455594495
2010-06-30,MSFT,5162,17.2765097078,89181.34311166359
2010-06-30,NFLX,62978,1.552141305,97750.75510628999
2010-06-30,STX,12594,6.7407507805,84893.015329617
2010-06-30,WSM,9593,8.6584627095,83060.6327722335
2010-07-31,DECK,12437,8.4816666667,105486.48833374791
2010-07-31,GRMN,5288,16.0536349838,84891.6217943344
2010-07-31,IT,4301,25.17,108256.17000000001
2010-07-31,NFLX,62978,1.464998535,92262.67773723001
2010-07-31,RCL,5362,23.6368856454,126740.9808306348
2010-07-31,TT,4667,23.2691144333,108596.9570602111
2010-07-31,YUM,4874,21.8135416451,106319.20197821739
2010-08-31,AKAM,2606,46.07,120058.42
2010-08-31,CL,3669,25.4802714794,93487.1160579186
2010-08-31,DECK,12437,7.235,89981.695
2010-08-31,GRMN,5288,14.9837680435,79234.165414028
2010-08-31,IT,4301,28.68,123352.68
2010-08-31,NFLX,62978,1.793141064,112928.437928592
2010-08-31,YUM,4874,22.0248108136,107348.92790548639
2010-09-30,BMY,6600,15.9338868465,105163.6531869
2010-09-30,CL,3669,26.5223952587,97310.6682041703
2010-09-30,CLX,2478,41.5492206908,102958.9688718024
2010-09-30,CPB,4472,21.4522910926,95934.64576610719
2010-09-30,DECK,12437,8.3266666667,103558.7533337479
2010-09-30,IT,4301,29.44,126621.44
2010-09-30,MO,11802,9.2653948904,109350.1904965008
2010-09-30,NFLX,62978,2.316569112,145892.889535536
2010-09-30,TPR,4223,28.4934528019,120327.85118242369
2010-09-30,YUM,4874,24.32764475,118572.94051150001
2010-10-31,BMY,6600,15.7751945024,104116.28371583999
2010-10-31,CL,3669,26.7960052767,98314.54336021231
2010-10-31,CLX,2478,41.7559079224,103471.1398317072
2010-10-31,FFIV,963,117.7,113345.1
2010-10-31,IT,4301,31.69,136298.69
2010-10-31,MO,11802,9.8044618912,115712.2592399424
2010-10-31,NFLX,62978,2.479568949,156158.293270122
2010-10-31,UAL,4226,29.04,122723.04
2010-10-31,YUM,4874,26.3126983164,128248.0915941336
2010-11-30,BA,1785,50.8652305147,90794.4364687395
2010-11-30,CLX,2478,38.7818582822,96101.44482329159
2010-11-30,CMI,1655,66.7778625285,110517.3624846675
2010-11-30,IT,4301,32.17,138363.17
2010-11-30,NFLX,62978,2.94142563,185245.10332614
2010-11-30,STX,13150,6.9320144146,91155.98955199
2010-11-30,VRSN,3430,28.7800869803,98715.698342429
2010-11-30,YUM,4874,26.5887798968,129593.7132170032
2010-12-31,AFL,5646,19.4049915078,109560.58205303879
2010-12-31,AMD,13717,8.18,112205.06
2010-12-31,CDNS,12722,8.26,105083.72
2010-12-31,CLX,2478,39.7041901326,98386.98314858279
2010-12-31,MO,10801,9.6420601547,104143.8917309147
2010-12-31,TER,9166,12.9150350051,118379.2108567466
2010-12-31,TPL,26688,3.5530690069,94824.3056561472
2010-12-31,UAL,3612,23.82,86037.84
2010-12-31,VRSN,3430,29.8146526129,102264.258462247
2010-12-31,YUM,4874,26.0419259971,126928.3473098654
2011-01-31,AIG,2737,30.4779737808,83418.2142380496
2011-01-31,CDNS,12722,8.68,110426.95999999999
2011-01-31,CLX,2478,39.8019660872,98629.2719640816
2011-01-31,CMG,23511,4.3784,102940.5624
2011-01-31,CMI,1322,72.8010717104,96243.0168011488
2011-01-31,DECK,7524,12.2316666667,92031.0600002508
2011-01-31,MO,10801,9.2073450137,99448.5334929737
2011-01-31,TER,9166,15.3435031258,140638.5496510828
2011-01-31,VRSN,3430,30.7090009313,105331.873194359
2011-02-28,BA,1804,57.7698961785,104216.892706014
2011-02-28,CL,3723,27.4654814212,102253.9873311276
2011-02-28,CMI,1322,69.6926259353,92133.6514864666
2011-02-28,FCX,2466,39.4818860253,97362.3309383898
2011-02-28,HSY,3087,36.5379441022,112792.6334434914
2011-02-28,LRCX,23576,4.6674647087,110040.1479723112
2011-02-28,MO,10801,9.9357866013,107316.4310806413
2011-02-28,RCL,2719,35.8648379214,97516.49430828661
2011-02-28,VRSN,3430,32.205665464,110465.43254152
2011-02-28,YUM,4007,26.8574295917,107617.7203739419
2011-03-31,CB,2393,43.2309122662,103451.5730530166
2011-03-31,CDNS,10050,9.75,97987.5
2011-03-31,CLX,2331,44.3460608002,103370.6677252662
2011-03-31,CMG,20408,5.4474,111170.5392
2011-03-31,MO,10801,10.3489094285,111778.57073722851
2011-03-31,NFLX,33870,3.396853746,115051.43637702
2011-03-31,SNA,2439,42.8763628848,104575.4490760272
2011-03-31,TPR,2738,34.7004992056,95009.96682493281
2011-03-31,VRSN,3430,33.0452577629,113345.234126747
2011-03-31,YUM,4007,27.4177375805,109862.8744850635
2011-04-30,CDNS,10050,10.38,104319.00000000001
2011-04-30,CLX,2331,44.4403523177,103590.46125255869
2011-04-30,CPB,4952,20.6618219427,102317.3422602504
2011-04-30,IT,2399,42.91,102941.09
2011-04-30,MKC,5675,18.2028059781,103300.92392571749
2011-04-30,MO,10801,10.6709461798,115256.8896880198
2011-04-30,NFLX,33870,3.323853819,112578.92884953
2011-04-30,TER,6103,14.8099760387,90385.2837641861
