month,ticker,pnl,pnl_comm,bar_len
2010-07-31,ACN,2877.7770688085984,2877.7770688085984,1
2010-07-31,BKNG,-7564.018648794307,-7564.018648794307,1
2010-07-31,CL,1088.2454574637989,1088.2454574637989,1
2010-07-31,MA,-645.4218633747954,-645.4218633747954,1
2010-07-31,MO,1238.1356092280123,1238.1356092280123,1
2010-07-31,WDC,-11892.523830756794,-11892.523830756794,1
2010-08-31,BA,7384.579542336902,7384.579542336902,2
2010-08-31,CMI,25496.9750494604,25496.9750494604,1
2010-08-31,RCL,29247.9186533884,29247.9186533884,1
2010-08-31,STX,-15364.073326869602,-15364.073326869602,2
2010-09-30,GEN,5628.324505856406,5628.324505856406,1
2010-09-30,SWKS,2452.6175208080044,2452.6175208080044,1
2010-09-30,WDC,-6933.39995917739,-6933.39995917739,1
2010-10-31,LMT,2071.1399489046103,2071.1399489046103,1
2010-10-31,MU,-14487.566408712803,-14487.566408712803,3
2010-11-30,AKAM,2330.6399999999894,2330.6399999999894,1
2010-11-30,BMY,-350.37212425249675,-350.37212425249675,1
2010-11-30,CNC,9544.814999999999,9544.814999999999,2
2010-11-30,DECK,22725.492327329997,22725.492327329997,4
2010-12-31,CMI,13752.397611412498,13752.397611412498,1
2010-12-31,IT,32320.0,32320.0,6
2010-12-31,MMM,1643.0055535620074,1643.0055535620074,1
2010-12-31,NFLX,91136.50229197802,91136.50229197802,5
2010-12-31,TPL,4702.527736292401,4702.527736292401,1
2010-12-31,YUM,25851.7096436856,25851.7096436856,6
2011-01-31,BA,-5882.809252530001,-5882.809252530001,2
2011-01-31,BKNG,35910.6948861024,35910.6948861024,4
2011-01-31,MO,3615.7978807432864,3615.7978807432864,1
2011-01-31,TER,16441.557063258802,16441.557063258802,1
2011-01-31,UAL,-14448.0,-14448.0,1
2011-02-28,CDNS,4479.21999999999,4479.21999999999,1
2011-02-28,CMG,3829.38499999999,3829.38499999999,3
2011-02-28,FFIV,-17917.439999999988,-17917.439999999988,1
2011-02-28,IT,6957.720000000007,6957.720000000007,1
2011-02-28,NFLX,22555.108873439993,22555.108873439993,1
2011-03-31,BA,3375.6722298199975,3375.6722298199975,1
2011-03-31,HSY,12865.10885961211,12865.10885961211,1
2011-03-31,LRCX,9741.259002187993,9741.259002187993,1
2011-03-31,MO,7783.280872542015,7783.280872542015,1
2011-03-31,RCL,-3073.1391219728002,-3073.1391219728002,1
2011-04-30,ACN,5769.219961180011,5769.219961180011,1
2011-04-30,AIG,-5773.880292701998,-5773.880292701998,1
2011-04-30,CMG,12350.9216,12350.9216,1
2011-04-30,CMI,56.5748970633922,56.5748970633922,3
2011-04-30,DECK,6132.059999999996,6132.059999999996,3
2011-05-31,CBRE,-187.24999999998937,-187.24999999998937,1
2011-05-31,CDNS,5743.360000000005,5743.360000000005,1
2011-05-31,MO,3572.484882901398,3572.484882901398,1
2011-05-31,SWKS,-2900.973930351909,-2900.973930351909,1
2011-05-31,YUM,10260.482303449398,10260.482303449398,4
2011-06-30,CLX,7358.955468505197,7358.955468505197,7
