strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,gross_stock_return,cost_drag_per_holding,realized_stock_return
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,STX,Information Technology,1.2833186579134601,100000.0,-0.14266929652484095,0.0,-0.14266929652484095
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,BKNG,Consumer Discretionary,1.1300322837541619,100000.0,-0.07628714944091819,0.0,-0.07628714944091819
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,MO,Consumer Staples,1.1280782605903639,100000.0,0.006879150073519025,0.0,0.006879150073519025
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,WDC,Information Technology,0.9201569110094341,100000.0,-0.11915887850128093,0.0,-0.11915887850128093
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,MA,Financials,0.9186291470291155,100000.0,-0.007313432837420919,0.0,-0.007313432837420919
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,BA,Industrials,0.876041922905778,100000.0,-0.02365022561004404,0.0,-0.02365022561004404
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,CL,Consumer Staples,0.8321808027460356,100000.0,0.012729844414328229,0.0,0.012729844414328229
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,ACN,Information Technology,0.831156661639944,100000.0,0.03674892703945254,0.0,0.03674892703945254
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,IT,Information Technology,0.7883559439068673,100000.0,-0.04946852003270652,0.0,-0.04946852003270652
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-05-31,YUM,Consumer Discretionary,0.7745368885672547,100000.0,-0.042433161637877914,0.0,-0.042433161637877914
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,NFLX,Communication Services,1.5202988675376714,100000.0,-0.057444852941176405,0.0,-0.057444852941176405
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,MU,Information Technology,1.301788306295615,100000.0,-0.14453584018688126,0.0,-0.14453584018688126
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,RCL,Consumer Discretionary,1.1880514349368116,100000.0,0.26026200873182237,0.0,0.26026200873182237
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,DECK,Consumer Discretionary,1.0793982191296259,100000.0,0.0673995152817779,0.0,0.0673995152817779
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,BA,Industrials,1.0709006139612858,100000.0,0.09058898847750951,0.0,0.09058898847750951
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,CMI,Industrials,1.0277961143961363,100000.0,0.22722367812552835,0.0,0.22722367812552835
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,SBUX,Consumer Discretionary,0.9706721889296726,100000.0,0.017191977081578935,0.0,0.017191977081578935
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,IT,Information Technology,0.9696037427737718,100000.0,0.08258064516129049,0.0,0.08258064516129049
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-06-30,YUM,Consumer Discretionary,0.8834870277548539,100000.0,0.06576473903560909,0.0,0.06576473903560909
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-07-31,AKAM,Information Technology,1.6706581741028237,100000.0,0.18492798353909468,0.0,0.18492798353909468
base_equal_top10,"Base: assignment-style full-sample index trend regression, equal factor weights, no stop-loss/take-profit.",2010-07-31,MU,Information Technology,1.2429423195352185,100000.0,-0.1260487144738025,0.0,-0.1260487144738025
