term,coefficient,full_model_p_value,refit_p_value,selected,n_obs,r_squared_refit,selected_variables
const,0.011275506059068612,0.00019427401739194138,1.3644756435448608e-05,True,192,0.0056817224553941115,ma_dev_5
ma_dev_3,0.0,0.06043628235687099,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_5,0.2983742814199314,0.014091647277744028,0.5222301729905716,True,192,0.0056817224553941115,ma_dev_5
ma_dev_10,0.0,0.15585268565098045,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_20,0.0,0.1507881166415342,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_50,0.0,0.5311423976851914,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_100,0.0,0.37058378142974924,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_200,0.0,0.8135824609427323,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_400,0.0,0.7489402854466165,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_600,0.0,0.8904839720684473,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_800,0.0,0.710252654474233,,False,192,0.0056817224553941115,ma_dev_5
ma_dev_1000,0.0,0.8430034927841528,,False,192,0.0056817224553941115,ma_dev_5
