month,n_obs,r2,ma_dev_3,ma_dev_5,ma_dev_10,ma_dev_20,ma_dev_50,ma_dev_100,ma_dev_200,ma_dev_400,ma_dev_600,ma_dev_800,ma_dev_1000
2006-06-30,0,,,,,,,,,,,,
2006-07-31,0,,,,,,,,,,,,
2006-08-31,0,,,,,,,,,,,,
2006-09-30,0,,,,,,,,,,,,
2006-10-31,0,,,,,,,,,,,,
2006-11-30,0,,,,,,,,,,,,
2006-12-31,0,,,,,,,,,,,,
2007-01-31,0,,,,,,,,,,,,
2007-02-28,0,,,,,,,,,,,,
2007-03-31,0,,,,,,,,,,,,
2007-04-30,0,,,,,,,,,,,,
2007-05-31,0,,,,,,,,,,,,
2007-06-30,0,,,,,,,,,,,,
2007-07-31,0,,,,,,,,,,,,
2007-08-31,0,,,,,,,,,,,,
2007-09-30,0,,,,,,,,,,,,
2007-10-31,0,,,,,,,,,,,,
2007-11-30,0,,,,,,,,,,,,
2007-12-31,0,,,,,,,,,,,,
2008-01-31,0,,,,,,,,,,,,
2008-02-29,0,,,,,,,,,,,,
2008-03-31,0,,,,,,,,,,,,
2008-04-30,0,,,,,,,,,,,,
2008-05-31,0,,,,,,,,,,,,
2008-06-30,0,,,,,,,,,,,,
2008-07-31,0,,,,,,,,,,,,
2008-08-31,0,,,,,,,,,,,,
2008-09-30,0,,,,,,,,,,,,
2008-10-31,0,,,,,,,,,,,,
2008-11-30,0,,,,,,,,,,,,
2008-12-31,0,,,,,,,,,,,,
2009-01-31,0,,,,,,,,,,,,
2009-02-28,0,,,,,,,,,,,,
2009-03-31,0,,,,,,,,,,,,
2009-04-30,0,,,,,,,,,,,,
2009-05-31,0,,,,,,,,,,,,
2009-06-30,0,,,,,,,,,,,,
2009-07-31,0,,,,,,,,,,,,
2009-08-31,0,,,,,,,,,,,,
2009-09-30,0,,,,,,,,,,,,
2009-10-31,0,,,,,,,,,,,,
2009-11-30,0,,,,,,,,,,,,
2009-12-31,0,,,,,,,,,,,,
2010-01-31,0,,,,,,,,,,,,
2010-02-28,0,,,,,,,,,,,,
2010-03-31,0,,,,,,,,,,,,
2010-04-30,0,,,,,,,,,,,,
2010-05-31,387,0.22858930681536327,0.4611730302626721,0.22467951193331395,0.9304920422276112,-0.7226685398620438,-0.7728840389483925,0.9277088194873894,-0.5770413805820906,0.28842244576123216,-0.135178966587548,0.08963666660252977,-0.018369617797683164
2010-06-30,388,0.15516929520140366,-3.4781613932075532,2.485797330144452,0.4573541592310754,-0.9231559538330596,0.6894216640613984,-0.35457712919574275,0.25877944847946643,-0.2989791327419434,0.18893111136644564,-0.04720144619836974,-0.019660876006110488
2010-07-31,388,0.16985388831460035,-0.21741131860583113,-1.15002400521084,0.7233997344310079,0.7254277649965581,-0.3536259604390049,-0.22524267463396824,-0.061782726316969294,0.12963339539711327,-0.13823488263754558,0.17521110782288046,-0.0948417940713194
2010-08-31,388,0.2790236878498724,2.162182902059251,-0.855466488816326,-0.20738192361428182,1.111792724038842,-0.7464534171846076,0.31607982062379764,0.1593883241520424,-0.007073350526608527,-0.29561168562505996,0.21884704547054856,-0.08415263055594357
