month,ticker,size,price,market_value
2010-06-30,BA,1977,49.4486559863,97759.99288491509
2010-06-30,BMY,7511,14.4890697114,108827.40260232541
2010-06-30,CL,3734,27.0046983924,100835.5437972216
2010-06-30,CPB,4689,21.3353936547,100041.66084688829
2010-06-30,HSY,3122,32.7974133334,102393.5244268748
2010-06-30,IBM,1458,67.6094906495,98574.637366971
2010-06-30,LMT,2046,45.5566483387,93208.9025009802
2010-06-30,MO,13210,7.6069989095,100488.455594495
2010-06-30,STX,12594,6.7407507805,84893.015329617
2010-06-30,YUM,4647,20.5147950636,95332.2526605492
2010-07-31,BA,1977,53.6961182296,106157.2257399192
2010-07-31,BMY,7511,14.4774505697,108740.1312290167
2010-07-31,CL,3734,27.2539523489,101766.2580707926
2010-07-31,CPB,4689,21.5423007055,101011.84800808951
2010-07-31,HSY,3122,32.1610353989,100406.75251536579
2010-07-31,LMT,2046,45.9541224518,94022.1345363828
2010-07-31,YUM,4647,21.8135416451,101367.52802477969
2010-08-31,BMY,7511,15.1513607888,113801.8708846768
2010-08-31,CL,3734,25.4802714794,95143.3337040796
2010-08-31,CPB,4689,22.3583878632,104838.4806905448
2010-08-31,HSY,3122,32.0125439015,99943.16206048301
2010-08-31,IT,3972,28.68,113916.95999999999
2010-08-31,LMT,2046,42.892788903,87758.646095538
2010-08-31,MO,11888,8.4724658513,100720.67404025441
2010-08-31,NFLX,68259,1.793141064,122398.01588757601
2010-08-31,YUM,4647,22.0248108136,102349.29585079919
2010-09-30,BMY,7511,15.9338868465,119679.4241040615
2010-09-30,CL,3734,26.5223952587,99034.6238959858
2010-09-30,CPB,4689,21.4522910926,100589.7929332014
2010-09-30,HSY,3122,32.7840964983,102351.9492676926
2010-09-30,IT,3972,29.44,116935.68000000001
2010-09-30,LMT,2046,43.9786822929,89980.38397127339
2010-09-30,MO,11888,9.2653948904,110147.0144570752
2010-09-30,NFLX,68259,2.316569112,158126.691016008
2010-09-30,YUM,4647,24.32764475,113050.56515325
2010-10-31,BMY,7511,15.7751945024,118487.4859075264
2010-10-31,CL,3734,26.7960052767,100056.2837031978
2010-10-31,CPB,4689,21.9209220327,102787.2034113303
2010-10-31,HSY,3122,34.0929803677,106438.2847079594
2010-10-31,IT,3972,31.69,125872.68000000001
2010-10-31,LMT,2046,43.9848521418,89993.00748212279
2010-10-31,MO,11888,9.8044618912,116555.44296258561
2010-10-31,NFLX,68259,2.479568949,169252.89688979098
2010-10-31,YUM,4647,26.3126983164,122275.1090763108
2010-11-30,CDNS,11806,7.86,92795.16
2010-11-30,CL,3734,26.5979538892,99316.7598222728
2010-11-30,CPB,4689,20.4998415699,96123.7571212611
2010-11-30,IT,3972,32.17,127779.24
2010-11-30,MO,11888,9.2576801569,110055.30170522719
2010-11-30,STX,13150,6.9320144146,91155.98955199
2010-11-30,VRSN,3430,28.7800869803,98715.698342429
2010-11-30,YUM,4647,26.5887798968,123558.06018042959
2010-12-31,AMD,13717,8.18,112205.06
2010-12-31,BA,1965,52.0537077527,102285.5357340555
2010-12-31,CDNS,11806,8.26,97517.56
2010-12-31,CL,3734,27.9252456443,104272.8672358162
2010-12-31,CPB,4689,21.1913622523,99366.29760103469
2010-12-31,MO,11888,9.6420601547,114624.8111190736
2010-12-31,TER,9166,12.9150350051,118379.2108567466
2010-12-31,VRSN,3430,29.8146526129,102264.258462247
2010-12-31,YUM,4647,26.0419259971,121016.8301085237
2011-01-31,AMD,13717,7.83,107404.11
2011-01-31,BA,1965,55.4197305341,108899.7704995065
2011-01-31,CDNS,11806,8.68,102476.08
2011-01-31,CLX,2518,39.8019660872,100221.3506075696
2011-01-31,DECK,7524,12.2316666667,92031.0600002508
2011-01-31,LMT,2293,49.652084438,113852.229616334
2011-01-31,MO,11888,9.2073450137,109456.9175228656
2011-01-31,VRSN,3430,30.7090009313,105331.873194359
2011-01-31,YUM,4647,24.9523824302,115953.7211531394
2011-02-28,AMD,13717,9.21,126333.57
2011-02-28,BA,1965,57.7698961785,113517.8459907525
2011-02-28,CDNS,11806,9.95,117469.7
2011-02-28,CL,3723,27.4654814212,102253.9873311276
2011-02-28,CLX,2518,42.8841027519,107982.1707292842
2011-02-28,HSY,3087,36.5379441022,112792.6334434914
2011-02-28,LRCX,23576,4.6674647087,110040.1479723112
2011-02-28,MO,11888,9.9357866013,118116.6311162544
2011-02-28,VRSN,3430,32.205665464,110465.43254152
2011-02-28,YUM,4647,26.8574295917,124806.4753126299
2011-03-31,BA,1965,59.3102128104,116544.568172436
2011-03-31,CDNS,11806,9.75,115108.5
2011-03-31,CL,3723,28.2490101831,105171.0649116813
2011-03-31,CLX,2518,44.3460608002,111663.3810949036
2011-03-31,CPB,4871,20.1912519186,98351.5880955006
2011-03-31,IBM,1113,90.4833637874,100707.9838953762
2011-03-31,MO,11888,10.3489094285,123027.835286008
2011-03-31,TPR,2738,34.7004992056,95009.96682493281
2011-03-31,VRSN,3430,33.0452577629,113345.234126747
2011-03-31,YUM,4647,27.4177375805,127410.22653658349
2011-04-30,BA,1965,64.0033650482,125766.612319713
2011-04-30,CDNS,11806,10.38,122546.28000000001
2011-04-30,CL,3723,29.7169404063,110636.1691326549
2011-04-30,CLX,2518,44.4403523177,111900.80713596859
2011-04-30,CPB,4871,20.6618219427,100643.7346828917
2011-04-30,IBM,1113,94.6504703186,105345.9734646018
2011-04-30,LMT,1975,49.8965701608,98545.72606758
2011-04-30,MO,11888,10.6709461798,126856.2081854624
2011-04-30,VRSN,3430,33.747960013,115755.50284459
2011-04-30,YUM,4647,28.7669097623,133679.8296654081
2011-05-31,BA,1965,62.9319010387,123661.1855410455
2011-05-31,CL,3723,30.8372708211,114807.15926695529
2011-05-31,CLX,2518,44.9634802089,113218.0431660102
2011-05-31,DAL,11205,8.6661999589,97104.7705394745
