simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value,evaluation_start
0,1.0421179388119035,1874504.1084413049,1.1833649122392482,0.019,2016-05-31T00:00:00
1,0.8001821676219495,1664824.4005183883,1.1833649122392482,0.019,2016-05-31T00:00:00
2,0.7800526505610917,1507916.281519577,1.1833649122392482,0.019,2016-05-31T00:00:00
3,1.0050849269670916,1778516.4855503405,1.1833649122392482,0.019,2016-05-31T00:00:00
4,0.806384107868863,1635389.217803749,1.1833649122392482,0.019,2016-05-31T00:00:00
5,0.7583831158434733,1658182.6474816161,1.1833649122392482,0.019,2016-05-31T00:00:00
6,0.7157614610127175,1605854.606006536,1.1833649122392482,0.019,2016-05-31T00:00:00
7,0.7730297249170652,1680719.1038956367,1.1833649122392482,0.019,2016-05-31T00:00:00
8,1.0944806411705752,1874905.5711081093,1.1833649122392482,0.019,2016-05-31T00:00:00
9,0.9184352118302341,1800495.6485510077,1.1833649122392482,0.019,2016-05-31T00:00:00
10,0.8811767067986132,1716485.633010439,1.1833649122392482,0.019,2016-05-31T00:00:00
11,0.8173935522054505,2007909.3462662932,1.1833649122392482,0.019,2016-05-31T00:00:00
12,0.9259009175005412,1724270.9170556597,1.1833649122392482,0.019,2016-05-31T00:00:00
13,0.8348771189439744,1642739.2509256883,1.1833649122392482,0.019,2016-05-31T00:00:00
14,1.1117732843981099,1868255.5925386266,1.1833649122392482,0.019,2016-05-31T00:00:00
15,0.9984334539975471,1683486.1131185915,1.1833649122392482,0.019,2016-05-31T00:00:00
16,0.8274071512447966,1644172.9241785076,1.1833649122392482,0.019,2016-05-31T00:00:00
17,0.810807650567522,1944363.9155212499,1.1833649122392482,0.019,2016-05-31T00:00:00
18,1.179479334105182,1920527.4490697507,1.1833649122392482,0.019,2016-05-31T00:00:00
19,0.7419744620848941,1603276.8272921387,1.1833649122392482,0.019,2016-05-31T00:00:00
20,0.7465112524201896,1682625.0972422522,1.1833649122392482,0.019,2016-05-31T00:00:00
21,1.1101713778730937,2139933.68304209,1.1833649122392482,0.019,2016-05-31T00:00:00
22,1.003986353498497,2157493.7175094527,1.1833649122392482,0.019,2016-05-31T00:00:00
23,0.7869018484102175,1572080.0992588962,1.1833649122392482,0.019,2016-05-31T00:00:00
24,0.7865097356694758,1675188.770700912,1.1833649122392482,0.019,2016-05-31T00:00:00
25,0.6680659198161075,1527683.3844367752,1.1833649122392482,0.019,2016-05-31T00:00:00
26,0.6713331434474338,1640034.5487032195,1.1833649122392482,0.019,2016-05-31T00:00:00
27,0.759573269352007,1710897.895137509,1.1833649122392482,0.019,2016-05-31T00:00:00
28,0.4843800794604124,1317269.0331025417,1.1833649122392482,0.019,2016-05-31T00:00:00
29,0.9245063600026612,1633748.0328914041,1.1833649122392482,0.019,2016-05-31T00:00:00
30,0.8845831058980985,1815427.2927999303,1.1833649122392482,0.019,2016-05-31T00:00:00
31,1.2528969981118698,1911254.4124841574,1.1833649122392482,0.019,2016-05-31T00:00:00
32,1.0983733081038671,1980704.0323842885,1.1833649122392482,0.019,2016-05-31T00:00:00
33,1.1859768941045286,2085098.1090582462,1.1833649122392482,0.019,2016-05-31T00:00:00
34,0.9124569551294064,1688470.9610873407,1.1833649122392482,0.019,2016-05-31T00:00:00
35,0.799544076323791,1649052.466756868,1.1833649122392482,0.019,2016-05-31T00:00:00
36,0.938720903643908,1734935.377501798,1.1833649122392482,0.019,2016-05-31T00:00:00
37,0.8327794478711623,1760112.2133612593,1.1833649122392482,0.019,2016-05-31T00:00:00
38,0.6993190307305378,1498354.4021599898,1.1833649122392482,0.019,2016-05-31T00:00:00
39,0.829857094030606,1916619.078664213,1.1833649122392482,0.019,2016-05-31T00:00:00
40,0.9233009929238357,2059190.464142535,1.1833649122392482,0.019,2016-05-31T00:00:00
41,0.7383097986329921,1604987.78216588,1.1833649122392482,0.019,2016-05-31T00:00:00
42,0.9094005504465641,1600929.2465920683,1.1833649122392482,0.019,2016-05-31T00:00:00
43,0.8359629042326728,1751722.646697756,1.1833649122392482,0.019,2016-05-31T00:00:00
44,0.9676183656446304,1784638.4371272572,1.1833649122392482,0.019,2016-05-31T00:00:00
45,0.829949918350096,1675286.9118400214,1.1833649122392482,0.019,2016-05-31T00:00:00
46,0.9318666229116228,1692273.9307632328,1.1833649122392482,0.019,2016-05-31T00:00:00
47,0.6290617249883032,1608348.1170771546,1.1833649122392482,0.019,2016-05-31T00:00:00
48,0.7884717117851973,1680831.6832719047,1.1833649122392482,0.019,2016-05-31T00:00:00
49,0.7743483855657157,1678063.9847415513,1.1833649122392482,0.019,2016-05-31T00:00:00
50,0.9407522656560163,1829141.529179612,1.1833649122392482,0.019,2016-05-31T00:00:00
51,0.9837269934052227,1684315.7221976488,1.1833649122392482,0.019,2016-05-31T00:00:00
52,0.7587447101857404,1638058.715239642,1.1833649122392482,0.019,2016-05-31T00:00:00
53,0.8806596930551789,1617609.158344692,1.1833649122392482,0.019,2016-05-31T00:00:00
54,0.7468913644532897,1643877.3369444795,1.1833649122392482,0.019,2016-05-31T00:00:00
55,0.840665889703292,1815185.0199914968,1.1833649122392482,0.019,2016-05-31T00:00:00
56,0.9411546271549059,1731075.465028202,1.1833649122392482,0.019,2016-05-31T00:00:00
57,0.6829408924967059,1433774.0689952623,1.1833649122392482,0.019,2016-05-31T00:00:00
58,0.850629115983496,1628876.205628535,1.1833649122392482,0.019,2016-05-31T00:00:00
59,0.9250585146265703,1629469.4470365918,1.1833649122392482,0.019,2016-05-31T00:00:00
60,1.0164597683193541,1668794.5039946374,1.1833649122392482,0.019,2016-05-31T00:00:00
61,0.7619255570608711,1558392.748117064,1.1833649122392482,0.019,2016-05-31T00:00:00
62,0.8665076902618992,1668848.8366609802,1.1833649122392482,0.019,2016-05-31T00:00:00
63,0.9029687844834673,1954222.7987368342,1.1833649122392482,0.019,2016-05-31T00:00:00
64,0.8448070658795168,1686785.7326350298,1.1833649122392482,0.019,2016-05-31T00:00:00
65,0.8854023735145423,1609644.0237779643,1.1833649122392482,0.019,2016-05-31T00:00:00
66,0.9266908516581788,1961950.4403743,1.1833649122392482,0.019,2016-05-31T00:00:00
67,0.5315210979299234,1361994.0763331912,1.1833649122392482,0.019,2016-05-31T00:00:00
68,0.753186221416978,1572678.250377525,1.1833649122392482,0.019,2016-05-31T00:00:00
69,0.8552820092796088,1643417.7005806612,1.1833649122392482,0.019,2016-05-31T00:00:00
70,0.7185695919857361,1703271.7348467207,1.1833649122392482,0.019,2016-05-31T00:00:00
71,0.8268702175441658,1698251.9050292645,1.1833649122392482,0.019,2016-05-31T00:00:00
72,0.8019086162057065,1653449.9160828413,1.1833649122392482,0.019,2016-05-31T00:00:00
73,0.7816546045231801,1612209.412887724,1.1833649122392482,0.019,2016-05-31T00:00:00
74,0.9052337787980195,1691045.4670687143,1.1833649122392482,0.019,2016-05-31T00:00:00
75,1.0465237502928992,2019302.2577179489,1.1833649122392482,0.019,2016-05-31T00:00:00
76,0.7561991762419024,1758248.6981509342,1.1833649122392482,0.019,2016-05-31T00:00:00
77,0.5867735413297774,1460851.104907357,1.1833649122392482,0.019,2016-05-31T00:00:00
78,0.8014669554527463,1786722.4940258884,1.1833649122392482,0.019,2016-05-31T00:00:00
79,0.8192422321559465,1795227.763657762,1.1833649122392482,0.019,2016-05-31T00:00:00
80,0.6852140047497706,1631632.281572383,1.1833649122392482,0.019,2016-05-31T00:00:00
81,0.7264831005965119,1596056.8006186963,1.1833649122392482,0.019,2016-05-31T00:00:00
82,0.7473636439866577,1651138.5067093961,1.1833649122392482,0.019,2016-05-31T00:00:00
83,0.8281934273927309,1528248.9951771821,1.1833649122392482,0.019,2016-05-31T00:00:00
84,0.8373126113914354,1701119.074495147,1.1833649122392482,0.019,2016-05-31T00:00:00
85,0.7887843152219801,1805779.6268834674,1.1833649122392482,0.019,2016-05-31T00:00:00
86,0.8231685940968382,1590314.9610972991,1.1833649122392482,0.019,2016-05-31T00:00:00
87,0.696676778370342,1882280.6302703426,1.1833649122392482,0.019,2016-05-31T00:00:00
88,0.7809347745570934,1517473.3536993242,1.1833649122392482,0.019,2016-05-31T00:00:00
89,0.9054900472665784,1827906.4647115218,1.1833649122392482,0.019,2016-05-31T00:00:00
90,1.0138592427160986,1862273.472795612,1.1833649122392482,0.019,2016-05-31T00:00:00
91,0.7591273114913936,1659944.3155891635,1.1833649122392482,0.019,2016-05-31T00:00:00
92,0.8615466705076734,1600275.5163594633,1.1833649122392482,0.019,2016-05-31T00:00:00
93,0.7352737064058655,1749934.3011592913,1.1833649122392482,0.019,2016-05-31T00:00:00
94,0.5709567911421382,1640719.532235921,1.1833649122392482,0.019,2016-05-31T00:00:00
95,0.8276664392833577,1749596.6729304057,1.1833649122392482,0.019,2016-05-31T00:00:00
96,0.821479059051078,1571292.3014343244,1.1833649122392482,0.019,2016-05-31T00:00:00
97,0.9423603375655362,1668093.80071913,1.1833649122392482,0.019,2016-05-31T00:00:00
98,0.813475599839365,1871909.4900376282,1.1833649122392482,0.019,2016-05-31T00:00:00
99,0.5728226824763163,1532346.8495208027,1.1833649122392482,0.019,2016-05-31T00:00:00
100,0.7418227983498864,1549393.8832873094,1.1833649122392482,0.019,2016-05-31T00:00:00
101,0.9459252344464153,1814711.8955796675,1.1833649122392482,0.019,2016-05-31T00:00:00
102,0.7084415431014299,1554483.4878686331,1.1833649122392482,0.019,2016-05-31T00:00:00
103,0.97363155364522,1647744.9669614034,1.1833649122392482,0.019,2016-05-31T00:00:00
104,0.7048735606440276,1568152.6953164083,1.1833649122392482,0.019,2016-05-31T00:00:00
105,1.0820507897098104,1695228.1235318624,1.1833649122392482,0.019,2016-05-31T00:00:00
106,1.0990495941137717,1857498.6247246058,1.1833649122392482,0.019,2016-05-31T00:00:00
107,1.0101517453130677,1851129.3483886612,1.1833649122392482,0.019,2016-05-31T00:00:00
108,0.7096159322838775,1654311.6884464694,1.1833649122392482,0.019,2016-05-31T00:00:00
109,0.858905668253586,1874456.0849660167,1.1833649122392482,0.019,2016-05-31T00:00:00
110,0.8990343210722009,1790525.2497731473,1.1833649122392482,0.019,2016-05-31T00:00:00
111,0.9865784403081735,1813567.6254738434,1.1833649122392482,0.019,2016-05-31T00:00:00
112,1.0504680444720307,1889554.717448602,1.1833649122392482,0.019,2016-05-31T00:00:00
113,0.6143846785428337,1501499.9363349248,1.1833649122392482,0.019,2016-05-31T00:00:00
114,0.809976372849581,1746559.228499894,1.1833649122392482,0.019,2016-05-31T00:00:00
115,0.8902738491265383,1633907.5782018374,1.1833649122392482,0.019,2016-05-31T00:00:00
116,0.8363029721582731,1631397.1440898797,1.1833649122392482,0.019,2016-05-31T00:00:00
117,0.8657748141077695,1861886.2439401434,1.1833649122392482,0.019,2016-05-31T00:00:00
118,1.0458726248588703,1894744.2179630764,1.1833649122392482,0.019,2016-05-31T00:00:00
119,0.887850376041318,1839324.1324129242,1.1833649122392482,0.019,2016-05-31T00:00:00
120,1.059220684482821,1890518.278758927,1.1833649122392482,0.019,2016-05-31T00:00:00
121,0.8723283522803769,2053566.6519126105,1.1833649122392482,0.019,2016-05-31T00:00:00
122,0.7684316254887404,1565897.1743839807,1.1833649122392482,0.019,2016-05-31T00:00:00
123,0.6943979193319681,1493217.5571608641,1.1833649122392482,0.019,2016-05-31T00:00:00
124,0.9605645391258831,1916666.6333945715,1.1833649122392482,0.019,2016-05-31T00:00:00
125,0.9091730661929044,1651689.7745716868,1.1833649122392482,0.019,2016-05-31T00:00:00
126,0.9857275108048335,1748706.394807269,1.1833649122392482,0.019,2016-05-31T00:00:00
127,0.778284022966175,1766065.0433014843,1.1833649122392482,0.019,2016-05-31T00:00:00
128,0.8906873082959316,1713875.433085567,1.1833649122392482,0.019,2016-05-31T00:00:00
129,0.6993496710831285,1500152.7917491056,1.1833649122392482,0.019,2016-05-31T00:00:00
130,0.8350096930248507,1767850.8214438332,1.1833649122392482,0.019,2016-05-31T00:00:00
131,0.9877616468118047,1848026.6086606674,1.1833649122392482,0.019,2016-05-31T00:00:00
132,0.7454670836368066,1658949.803510568,1.1833649122392482,0.019,2016-05-31T00:00:00
133,0.7322117121209788,1597081.9132112334,1.1833649122392482,0.019,2016-05-31T00:00:00
134,0.7880239293168368,1751713.880746311,1.1833649122392482,0.019,2016-05-31T00:00:00
135,0.894273871645202,1686140.3986909152,1.1833649122392482,0.019,2016-05-31T00:00:00
136,0.9173043779788972,1726620.8523066794,1.1833649122392482,0.019,2016-05-31T00:00:00
137,0.9990555176588188,1748832.3010858586,1.1833649122392482,0.019,2016-05-31T00:00:00
138,0.8921468105580022,1636280.94214129,1.1833649122392482,0.019,2016-05-31T00:00:00
139,0.9935042439665835,1722877.4020122804,1.1833649122392482,0.019,2016-05-31T00:00:00
140,0.9790562576710721,1714649.5441272613,1.1833649122392482,0.019,2016-05-31T00:00:00
141,0.7686660573320762,1847377.8012187728,1.1833649122392482,0.019,2016-05-31T00:00:00
142,0.6839557894420798,1501137.8689234927,1.1833649122392482,0.019,2016-05-31T00:00:00
143,0.7822209851130871,1549223.0276065704,1.1833649122392482,0.019,2016-05-31T00:00:00
144,0.7563321557848285,1570976.3017357753,1.1833649122392482,0.019,2016-05-31T00:00:00
145,0.9560396323918702,1849942.0433964918,1.1833649122392482,0.019,2016-05-31T00:00:00
146,0.9030634698265138,1984793.8366375165,1.1833649122392482,0.019,2016-05-31T00:00:00
147,1.2851188898908512,1836696.9339631335,1.1833649122392482,0.019,2016-05-31T00:00:00
148,0.7373287828969045,1512954.2622744904,1.1833649122392482,0.019,2016-05-31T00:00:00
149,0.6092188933421001,1582395.799438841,1.1833649122392482,0.019,2016-05-31T00:00:00
150,0.7330743160595676,1595053.631940969,1.1833649122392482,0.019,2016-05-31T00:00:00
151,1.2983705358295088,2137874.0164044327,1.1833649122392482,0.019,2016-05-31T00:00:00
152,0.905963390295549,1788838.5515255532,1.1833649122392482,0.019,2016-05-31T00:00:00
153,1.2369297373309036,2095964.1786761405,1.1833649122392482,0.019,2016-05-31T00:00:00
154,0.8610216279407307,1744754.7328725404,1.1833649122392482,0.019,2016-05-31T00:00:00
155,0.8621490297390125,1630306.2073215588,1.1833649122392482,0.019,2016-05-31T00:00:00
156,0.9218853996250348,1626591.063797001,1.1833649122392482,0.019,2016-05-31T00:00:00
157,0.7890106356692653,1643306.383750875,1.1833649122392482,0.019,2016-05-31T00:00:00
158,1.1038838713027075,1824165.9403407697,1.1833649122392482,0.019,2016-05-31T00:00:00
159,0.6511573692878425,1515506.7808924904,1.1833649122392482,0.019,2016-05-31T00:00:00
160,0.821179581689677,1722370.9552825845,1.1833649122392482,0.019,2016-05-31T00:00:00
161,0.9316867764524304,1829788.1841284467,1.1833649122392482,0.019,2016-05-31T00:00:00
162,0.8666695346672018,1821772.1093699215,1.1833649122392482,0.019,2016-05-31T00:00:00
163,0.8181970120822459,1775748.1884798137,1.1833649122392482,0.019,2016-05-31T00:00:00
164,0.8129396884458254,1945789.9648467002,1.1833649122392482,0.019,2016-05-31T00:00:00
165,0.8296667156694014,1620799.698494242,1.1833649122392482,0.019,2016-05-31T00:00:00
166,0.9715341410289998,1733333.647037317,1.1833649122392482,0.019,2016-05-31T00:00:00
167,0.759112233689325,1654074.9200233095,1.1833649122392482,0.019,2016-05-31T00:00:00
168,0.8301656278496533,1528238.6656119046,1.1833649122392482,0.019,2016-05-31T00:00:00
169,0.9612221298746373,1705007.6167159027,1.1833649122392482,0.019,2016-05-31T00:00:00
170,0.8747717341021771,1663585.311408075,1.1833649122392482,0.019,2016-05-31T00:00:00
171,0.808391651822897,1821022.7005406457,1.1833649122392482,0.019,2016-05-31T00:00:00
172,0.9087264360237,1858965.9415914093,1.1833649122392482,0.019,2016-05-31T00:00:00
173,0.9643404302494712,1657229.0663086213,1.1833649122392482,0.019,2016-05-31T00:00:00
174,0.7188410209998299,1534194.7875174694,1.1833649122392482,0.019,2016-05-31T00:00:00
175,1.0808000945220437,1809667.5944511392,1.1833649122392482,0.019,2016-05-31T00:00:00
176,1.0602919183412476,1746560.8557494602,1.1833649122392482,0.019,2016-05-31T00:00:00
177,0.9176186669346615,1658879.1626379844,1.1833649122392482,0.019,2016-05-31T00:00:00
178,0.8798352692827347,1587405.0605322209,1.1833649122392482,0.019,2016-05-31T00:00:00
179,0.8633101871734172,1527292.048220372,1.1833649122392482,0.019,2016-05-31T00:00:00
180,0.8554900066824463,1609347.8299096585,1.1833649122392482,0.019,2016-05-31T00:00:00
181,1.0557563753878854,1852089.4142261334,1.1833649122392482,0.019,2016-05-31T00:00:00
182,0.9155388181402027,1763924.5446845703,1.1833649122392482,0.019,2016-05-31T00:00:00
183,1.0093458193815348,1780595.9757002755,1.1833649122392482,0.019,2016-05-31T00:00:00
184,0.8427389990315612,1661907.998275019,1.1833649122392482,0.019,2016-05-31T00:00:00
185,0.9449522540850477,1633038.2651115458,1.1833649122392482,0.019,2016-05-31T00:00:00
186,0.931271899462001,1641033.4705581006,1.1833649122392482,0.019,2016-05-31T00:00:00
187,0.9752870831440814,1814781.7398535626,1.1833649122392482,0.019,2016-05-31T00:00:00
188,0.8473164219390555,1725718.2859205678,1.1833649122392482,0.019,2016-05-31T00:00:00
189,0.861973646276086,1795421.867965309,1.1833649122392482,0.019,2016-05-31T00:00:00
190,0.657311988435815,1649016.9237543999,1.1833649122392482,0.019,2016-05-31T00:00:00
191,0.7755667457693417,2122378.318370692,1.1833649122392482,0.019,2016-05-31T00:00:00
192,0.9012008595435576,1805181.175732893,1.1833649122392482,0.019,2016-05-31T00:00:00
193,0.7329746111201385,1707705.8115505653,1.1833649122392482,0.019,2016-05-31T00:00:00
194,0.8942532599730012,2288903.5496365284,1.1833649122392482,0.019,2016-05-31T00:00:00
195,0.8356186776542158,1562540.323557419,1.1833649122392482,0.019,2016-05-31T00:00:00
196,0.8915911296780399,1785373.2992269848,1.1833649122392482,0.019,2016-05-31T00:00:00
197,1.03946055240948,1822819.2241147882,1.1833649122392482,0.019,2016-05-31T00:00:00
198,1.00641392921565,1616270.9274695332,1.1833649122392482,0.019,2016-05-31T00:00:00
199,0.7019922530414863,1463503.6799448375,1.1833649122392482,0.019,2016-05-31T00:00:00
200,0.7489300748832627,1623360.8637028595,1.1833649122392482,0.019,2016-05-31T00:00:00
201,0.9029621540745217,1611368.3717313171,1.1833649122392482,0.019,2016-05-31T00:00:00
202,0.8835019006383704,1758485.790495309,1.1833649122392482,0.019,2016-05-31T00:00:00
203,0.7723455938241588,1679065.8400703622,1.1833649122392482,0.019,2016-05-31T00:00:00
204,0.823826247288251,1896870.171504153,1.1833649122392482,0.019,2016-05-31T00:00:00
205,0.8405472360508852,1757980.621603024,1.1833649122392482,0.019,2016-05-31T00:00:00
206,0.619541765180167,1703450.0516142272,1.1833649122392482,0.019,2016-05-31T00:00:00
207,0.9344568987797927,1896935.7489155864,1.1833649122392482,0.019,2016-05-31T00:00:00
208,0.6715273385638969,1537608.4482188572,1.1833649122392482,0.019,2016-05-31T00:00:00
209,0.9753189981826542,1812166.0031997152,1.1833649122392482,0.019,2016-05-31T00:00:00
210,1.0201287362935954,1744900.414247662,1.1833649122392482,0.019,2016-05-31T00:00:00
211,1.1615727195959071,1818527.9755329567,1.1833649122392482,0.019,2016-05-31T00:00:00
212,0.925437632294635,1888744.982999869,1.1833649122392482,0.019,2016-05-31T00:00:00
213,0.9853884870181786,1727506.1650957067,1.1833649122392482,0.019,2016-05-31T00:00:00
214,1.0542913221007022,1921374.83037804,1.1833649122392482,0.019,2016-05-31T00:00:00
215,1.1128128397068595,1932350.9304854418,1.1833649122392482,0.019,2016-05-31T00:00:00
216,1.023694081832476,1711614.7009824994,1.1833649122392482,0.019,2016-05-31T00:00:00
217,0.9265626014512526,1757492.7139376772,1.1833649122392482,0.019,2016-05-31T00:00:00
218,0.9702355745089747,1972936.7355799994,1.1833649122392482,0.019,2016-05-31T00:00:00
219,0.995655564808609,1971445.7765557612,1.1833649122392482,0.019,2016-05-31T00:00:00
220,0.9563242485273732,1784210.67249458,1.1833649122392482,0.019,2016-05-31T00:00:00
221,0.7558492034051236,1543964.7190456907,1.1833649122392482,0.019,2016-05-31T00:00:00
222,1.0881973749679665,1678037.3876617523,1.1833649122392482,0.019,2016-05-31T00:00:00
223,0.8278043860985181,1660694.615527195,1.1833649122392482,0.019,2016-05-31T00:00:00
224,0.7309232771608636,1640882.9178319026,1.1833649122392482,0.019,2016-05-31T00:00:00
225,1.0971885988519625,1719836.5177162688,1.1833649122392482,0.019,2016-05-31T00:00:00
226,0.9805824950043381,1830005.0926344085,1.1833649122392482,0.019,2016-05-31T00:00:00
227,0.9385205635813207,1745606.888234967,1.1833649122392482,0.019,2016-05-31T00:00:00
228,1.0110583128276136,1874502.4787550704,1.1833649122392482,0.019,2016-05-31T00:00:00
229,0.933841727719327,1631345.0834706987,1.1833649122392482,0.019,2016-05-31T00:00:00
230,0.9384579123724056,2005550.0820693695,1.1833649122392482,0.019,2016-05-31T00:00:00
231,0.7932701906270155,1710074.2828466438,1.1833649122392482,0.019,2016-05-31T00:00:00
232,0.7898121961004668,1700242.1594892384,1.1833649122392482,0.019,2016-05-31T00:00:00
233,0.7563539822220156,1637536.1788606322,1.1833649122392482,0.019,2016-05-31T00:00:00
234,0.9347152587490655,1761415.8838966188,1.1833649122392482,0.019,2016-05-31T00:00:00
235,0.6195372293001081,1611596.1543219057,1.1833649122392482,0.019,2016-05-31T00:00:00
236,0.9763920900082657,1845259.5359383945,1.1833649122392482,0.019,2016-05-31T00:00:00
237,0.6921191634655325,1576486.891361185,1.1833649122392482,0.019,2016-05-31T00:00:00
238,0.7011934521353987,1496283.6633283254,1.1833649122392482,0.019,2016-05-31T00:00:00
239,1.1040290608070045,1713464.3471751215,1.1833649122392482,0.019,2016-05-31T00:00:00
240,1.0970543172504938,1895338.8997550914,1.1833649122392482,0.019,2016-05-31T00:00:00
241,0.9973689287460994,1812416.0277835778,1.1833649122392482,0.019,2016-05-31T00:00:00
242,0.8625630010504208,1564963.9075129891,1.1833649122392482,0.019,2016-05-31T00:00:00
243,0.7669101359873579,1645351.9584362807,1.1833649122392482,0.019,2016-05-31T00:00:00
244,0.9202235814625003,1717025.5164904802,1.1833649122392482,0.019,2016-05-31T00:00:00
245,0.9614532565763297,1856227.1416521904,1.1833649122392482,0.019,2016-05-31T00:00:00
246,0.6991017960293869,1506913.739199179,1.1833649122392482,0.019,2016-05-31T00:00:00
247,0.8165457167232157,1605428.1597471484,1.1833649122392482,0.019,2016-05-31T00:00:00
248,0.9167514542090588,1779348.560225572,1.1833649122392482,0.019,2016-05-31T00:00:00
249,0.9900201281151726,1820177.1032576214,1.1833649122392482,0.019,2016-05-31T00:00:00
250,0.8034466351103625,1616732.1531296733,1.1833649122392482,0.019,2016-05-31T00:00:00
251,1.170720511663584,2255783.599176043,1.1833649122392482,0.019,2016-05-31T00:00:00
252,1.073661603221774,1937434.3288292282,1.1833649122392482,0.019,2016-05-31T00:00:00
253,0.8516190200532818,1702988.0056189552,1.1833649122392482,0.019,2016-05-31T00:00:00
254,0.9552196251887601,1670329.3121088007,1.1833649122392482,0.019,2016-05-31T00:00:00
255,1.0501853413142241,1908271.848675787,1.1833649122392482,0.019,2016-05-31T00:00:00
256,1.1653653875926309,2194279.139303522,1.1833649122392482,0.019,2016-05-31T00:00:00
257,1.050109456250172,1734806.4132227134,1.1833649122392482,0.019,2016-05-31T00:00:00
258,0.7972762630649431,1633866.4889387807,1.1833649122392482,0.019,2016-05-31T00:00:00
259,0.789049948155147,1656615.1758742365,1.1833649122392482,0.019,2016-05-31T00:00:00
260,0.8351715346573134,1445772.7157340385,1.1833649122392482,0.019,2016-05-31T00:00:00
261,0.7833973796834196,1833212.1465071351,1.1833649122392482,0.019,2016-05-31T00:00:00
262,0.8980579093253963,1761932.036093448,1.1833649122392482,0.019,2016-05-31T00:00:00
263,0.8570343126965523,1817440.3217416517,1.1833649122392482,0.019,2016-05-31T00:00:00
264,0.9124306410053202,1852582.2539836485,1.1833649122392482,0.019,2016-05-31T00:00:00
265,0.6690421872300696,1809191.829937998,1.1833649122392482,0.019,2016-05-31T00:00:00
266,0.9631588742608208,1662474.790610585,1.1833649122392482,0.019,2016-05-31T00:00:00
267,0.7466158388716346,1819296.9672259707,1.1833649122392482,0.019,2016-05-31T00:00:00
268,0.946919965275011,1816375.5814528097,1.1833649122392482,0.019,2016-05-31T00:00:00
269,1.0365976386450524,1693907.9869968782,1.1833649122392482,0.019,2016-05-31T00:00:00
270,1.015808380200041,1681892.8041903873,1.1833649122392482,0.019,2016-05-31T00:00:00
271,0.7147207850659102,1583737.7479378353,1.1833649122392482,0.019,2016-05-31T00:00:00
272,0.8520441687426654,1755789.5996758908,1.1833649122392482,0.019,2016-05-31T00:00:00
273,0.9189079934017998,1742362.3565643444,1.1833649122392482,0.019,2016-05-31T00:00:00
274,1.071541185688107,2054107.8112331505,1.1833649122392482,0.019,2016-05-31T00:00:00
275,0.8565398733523131,1829596.2899908489,1.1833649122392482,0.019,2016-05-31T00:00:00
276,0.5497528589502456,1372988.177813528,1.1833649122392482,0.019,2016-05-31T00:00:00
277,0.8183137847970836,1565017.3422708968,1.1833649122392482,0.019,2016-05-31T00:00:00
278,0.7899545481288901,1612870.4919905367,1.1833649122392482,0.019,2016-05-31T00:00:00
279,0.8930265238291043,1680361.4019481053,1.1833649122392482,0.019,2016-05-31T00:00:00
280,0.8527232869575218,1608817.0468742193,1.1833649122392482,0.019,2016-05-31T00:00:00
281,1.1865464753817165,1956147.5104494696,1.1833649122392482,0.019,2016-05-31T00:00:00
282,0.6387813239322169,1555220.5627735823,1.1833649122392482,0.019,2016-05-31T00:00:00
283,0.775185622780886,1590603.6643695782,1.1833649122392482,0.019,2016-05-31T00:00:00
284,0.8458506577381488,1677811.659697277,1.1833649122392482,0.019,2016-05-31T00:00:00
285,1.0685634821387342,1933374.4182555967,1.1833649122392482,0.019,2016-05-31T00:00:00
286,1.040987363915781,1935705.5995539578,1.1833649122392482,0.019,2016-05-31T00:00:00
287,0.9962254229799766,1830986.599594397,1.1833649122392482,0.019,2016-05-31T00:00:00
288,1.0193234910806839,1698963.3523557684,1.1833649122392482,0.019,2016-05-31T00:00:00
289,0.935098030533195,1696403.3550612,1.1833649122392482,0.019,2016-05-31T00:00:00
290,1.1171731039586439,2029621.4613771713,1.1833649122392482,0.019,2016-05-31T00:00:00
291,0.7588594288613035,1562588.8322670977,1.1833649122392482,0.019,2016-05-31T00:00:00
292,1.0398954355692165,1996414.1776018818,1.1833649122392482,0.019,2016-05-31T00:00:00
293,0.8875922073589825,1913334.9573856103,1.1833649122392482,0.019,2016-05-31T00:00:00
294,0.9210461925068664,1828008.64197206,1.1833649122392482,0.019,2016-05-31T00:00:00
295,0.8019479417840237,1776178.0583484687,1.1833649122392482,0.019,2016-05-31T00:00:00
296,0.9858031312710999,1769963.1387949383,1.1833649122392482,0.019,2016-05-31T00:00:00
297,0.6488434365792154,1531623.4684616188,1.1833649122392482,0.019,2016-05-31T00:00:00
298,1.096002819754981,1875717.8324251424,1.1833649122392482,0.019,2016-05-31T00:00:00
299,0.902991902891914,1626982.6937698831,1.1833649122392482,0.019,2016-05-31T00:00:00
300,0.9324880987504968,1923590.4135097938,1.1833649122392482,0.019,2016-05-31T00:00:00
301,0.9227503987212086,1864370.6689100282,1.1833649122392482,0.019,2016-05-31T00:00:00
302,0.9994276136239313,1715128.0627201868,1.1833649122392482,0.019,2016-05-31T00:00:00
303,0.9979412702397574,1921084.0555055111,1.1833649122392482,0.019,2016-05-31T00:00:00
304,1.0679379808366316,1759683.8026814358,1.1833649122392482,0.019,2016-05-31T00:00:00
