date,ticker,size,price,market_value,entry_price
2016-06-02,CINF,1878,53.4275952152,100337.0238141456,53.1436507994
2016-06-02,CLX,1034,96.6102373997,99894.9854712898,96.7665044401
2016-06-02,CPRT,16207,6.1825,100199.7775,6.16625
2016-06-02,FIX,3323,30.1854197071,100306.1496866933,30.0727174555
2016-06-02,GPN,1358,74.7713690745,101539.519203171,73.5207582384
2016-06-02,KMB,1103,90.598008351,99929.60321115301,90.5130727182
2016-06-02,LII,815,122.6042192413,99922.4386816595,122.3197340687
2016-06-02,MO,3060,32.6492438206,99906.686091036,32.6238595539
2016-06-02,NVDA,87034,1.1570720499,100704.6087909966,1.1551084147
2016-06-02,TSN,2002,48.6190018621,97335.24172792419,50.016992331
2016-06-03,CINF,1878,53.327830961,100149.66654475799,53.1436507994
2016-06-03,CLX,1034,96.6772089884,99964.2340940056,96.7665044401
2016-06-03,CPRT,16207,6.10125,98882.95875,6.16625
2016-06-03,FIX,3323,30.2417708328,100493.4044773944,30.0727174555
2016-06-03,GPN,1358,72.0617122631,97859.80525328981,73.5207582384
2016-06-03,KMB,1103,92.0702259867,101553.45926333009,90.5130727182
2016-06-03,LII,815,122.4975373016,99835.492900804,122.3197340687
2016-06-03,MO,3060,33.1518523011,101444.668041366,32.6238595539
2016-06-03,NVDA,87034,1.1408720594,99294.6588178196,1.1551084147
2016-06-03,TSN,2002,49.0927652988,98283.7161281976,50.016992331
2016-06-06,CINF,1878,53.251089227,100005.545568306,53.1436507994
2016-06-06,CLX,1034,96.2381730178,99510.27090040519,96.7665044401
2016-06-06,CPRT,16207,6.1275,99308.3925,6.16625
2016-06-06,FIX,3323,30.2605545414,100555.8227410722,30.0727174555
2016-06-06,GPN,1358,73.0944136353,99262.2137167374,73.5207582384
2016-06-06,KMB,1103,92.1339277113,101623.7222655639,90.5130727182
2016-06-06,LII,815,122.888704414,100154.29409741,122.3197340687
2016-06-06,MO,3060,33.1010837677,101289.31632916199,32.6238595539
2016-06-06,NVDA,87034,1.1349811538,98781.9497398292,1.1551084147
2016-06-06,TSN,2002,47.2831443029,94660.8548944058,50.016992331
2016-06-07,CINF,1878,53.3892243482,100264.9633259196,53.1436507994
2016-06-07,CLX,1034,96.2604968807,99533.35377464381,96.7665044401
2016-06-07,CPRT,16207,6.1675,99956.6725,6.16625
2016-06-07,FIX,3323,29.8285292438,99120.20267714739,30.0727174555
2016-06-07,GPN,1358,72.8954528204,98992.02493010319,73.5207582384
2016-06-07,KMB,1103,92.1551616195,101647.14326630851,90.5130727182
2016-06-07,LII,815,123.7866107401,100886.0877531815,122.3197340687
2016-06-07,MO,3060,33.0503152343,101133.96461695801,32.6238595539
2016-06-07,NVDA,87034,1.1371902434,98974.21564407561,1.1551084147
2016-06-07,TSN,2002,47.2520778481,94598.6598518962,50.016992331
2016-06-08,CINF,1878,53.8343264054,101100.8649893412,53.1436507994
2016-06-08,CLX,1034,96.8185934535,100110.425630919,96.7665044401
2016-06-08,CPRT,16207,6.2125,100685.9875,6.16625
2016-06-08,FIX,3323,30.8052820906,102365.9523870638,30.0727174555
2016-06-08,GPN,1358,72.3080447005,98194.32470327901,73.5207582384
2016-06-08,KMB,1103,92.5090600897,102037.4932789391,90.5130727182
2016-06-08,LII,815,125.440180806,102233.74735689,122.3197340687
2016-06-08,MO,3060,33.3143116079,101941.793520174,32.6238595539
2016-06-08,NVDA,87034,1.1335084274,98653.7724703316,1.1551084147
2016-06-08,TSN,2002,46.4132835667,92919.3937005334,50.016992331
2016-06-09,CINF,1878,54.2871026361,101951.1787505958,53.1436507994
2016-06-09,CLX,1034,97.4138964646,100725.9689443964,96.7665044401
2016-06-09,CPRT,16207,6.24875,101273.49125,6.16625
2016-06-09,FIX,3323,30.8428495078,102490.7889144194,30.0727174555
2016-06-09,GPN,1358,72.5733257869,98554.5764186102,73.5207582384
2016-06-09,KMB,1103,93.1577212445,102752.9665326835,90.5130727182
2016-06-09,LII,815,125.1734759566,102016.382904629,122.3197340687
2016-06-09,MO,3060,33.436156088,102314.63762928,32.6238595539
2016-06-09,NVDA,87034,1.1629629556,101217.31787769041,1.1551084147
2016-06-09,TSN,2002,47.5938088516,95282.80532090321,50.016992331
2016-06-10,CINF,1878,54.0798999542,101562.05211398761,53.1436507994
2016-06-10,CLX,1034,98.0538472014,101387.6780062476,96.7665044401
2016-06-10,CPRT,16207,6.1275,99308.3925,6.16625
2016-06-10,FIX,3323,30.5892694418,101648.1423551014,30.0727174555
2016-06-10,GPN,1358,70.8111014271,96161.4757380018,73.5207582384
2016-06-10,KMB,1103,93.3644374368,102980.97449279041,90.5130727182
2016-06-10,LII,815,122.7109011811,100009.3844625965,122.3197340687
2016-06-10,MO,3060,33.5732311282,102734.087252292,32.6238595539
2016-06-10,NVDA,87034,1.1339993362,98696.49822683081,1.1551084147
2016-06-10,TSN,2002,47.0423792777,94178.8433139554,50.016992331
2016-06-13,CINF,1878,53.5427078162,100553.2052788236,53.1436507994
2016-06-13,CLX,1034,97.6148112308,100933.7148126472,96.7665044401
2016-06-13,CPRT,16207,6.11,99024.77,6.16625
2016-06-13,FIX,3323,29.8942722239,99338.6666000197,30.0727174555
2016-06-13,GPN,1358,69.9015662736,94926.3269995488,73.5207582384
2016-06-13,KMB,1103,92.8440828839,102407.0234209417,90.5130727182
2016-06-13,LII,815,119.8304888082,97661.848378683,122.3197340687
2016-06-13,MO,3060,33.2051592611,101607.787338966,32.6238595539
2016-06-13,NVDA,87034,1.1484811459,99956.9080522606,1.1551084147
2016-06-13,TSN,2002,46.5453159999,93183.7226317998,50.016992331
2016-06-14,CINF,1878,53.4659660822,100409.0843023716,53.1436507994
2016-06-14,CLX,1034,98.8128585404,102172.4957307736,96.7665044401
2016-06-14,CPRT,16207,6.09125,98720.88875,6.16625
2016-06-14,FIX,3323,29.9224477868,99432.2939955364,30.0727174555
2016-06-14,GPN,1358,69.8636689756,94874.86246886481,73.5207582384
2016-06-14,KMB,1103,94.3837621087,104105.28960589609,90.5130727182
2016-06-14,LII,815,120.3905689918,98118.31372831699,122.3197340687
2016-06-14,MO,3060,33.4407294842,102328.63222165199,32.6238595539
2016-06-14,NVDA,87034,1.1506902355,100149.17395650699,1.1551084147
2016-06-14,TSN,2002,46.8249140937,93743.4780155874,50.016992331
2016-06-15,CINF,1878,53.0131898515,99558.770541117,53.1436507994
2016-06-15,CLX,1034,98.3366161316,101680.06108007439,96.7665044401
2016-06-15,CPRT,16207,6.105,98943.735,6.16625
