month,strategy,method,lookback_months,min_periods,shrink_to_equal,min_factor_weight,max_factor_weight,weight_roe,weight_pe,weight_momentum,weight_trend
2006-06-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-07-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-08-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-09-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-10-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-11-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2006-12-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-01-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-02-28,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-03-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-04-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-05-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-06-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-07-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-08-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-09-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-10-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-11-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2007-12-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-01-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-02-29,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-03-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-04-30,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-05-31,improved_3_dynamic_ic_weights_stop_take_top10,equal_until_min_history,60,24,0.5,0.1,0.45,0.25,0.25,0.25,0.25
2008-06-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.34186274283786866,0.20328647709875436,0.32985078006337704,0.125
2008-07-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.33693462458073,0.2292155645216825,0.30884981089758745,0.125
2008-08-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.371450598762447,0.29225531612321676,0.21129408511433617,0.125
2008-09-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3480826308620114,0.3139472947848524,0.21297007435313614,0.125
2008-10-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.34038514551404786,0.2838336193034059,0.25078123518254625,0.125
2008-11-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3357985726589196,0.2602313019410205,0.27897012540005983,0.125
2008-12-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3515780524998834,0.3156557614022701,0.20776618609784658,0.125
2009-01-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3599939298061426,0.3176081393922562,0.19739793080160123,0.125
2009-02-28,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3720848613765999,0.2792678518847402,0.22364728673865986,0.125
2009-03-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.390632374644347,0.3158444053415531,0.16852322001409983,0.125
2009-04-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.36064538957172476,0.38935461042827524,0.125,0.125
2009-05-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.33458081468141565,0.41541918531858435,0.125,0.125
2009-06-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.345006177019138,0.404993822980862,0.125,0.125
2009-07-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.29912533532280905,0.45,0.12543733233859547,0.12543733233859547
2009-08-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2446767315868023,0.45,0.15266163420659887,0.15266163420659887
2009-09-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.23956665719722597,0.45,0.155216671401387,0.155216671401387
2009-10-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.27424539089994515,0.45,0.13787730455002745,0.13787730455002745
2009-11-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2778671328091181,0.45,0.13606643359544093,0.13606643359544093
2009-12-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.26507069554488355,0.45,0.14246465222755825,0.14246465222755825
2010-01-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.27039948683048987,0.4499999999999999,0.13980025658475506,0.13980025658475506
2010-02-28,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2647883020630505,0.45,0.14260584896847478,0.14260584896847478
2010-03-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.24755985687559282,0.45,0.15122007156220363,0.15122007156220363
2010-04-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.22129891730723153,0.45,0.16435054134638424,0.16435054134638424
2010-05-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2690028805274077,0.45,0.14049855973629619,0.14049855973629619
2010-06-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.293920493794289,0.45,0.12803975310285554,0.12803975310285554
2010-07-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2756671575380912,0.45,0.13716642123095443,0.13716642123095443
2010-08-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.29222747979914687,0.45,0.1288862601004266,0.1288862601004266
2010-09-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.30674934276119104,0.44325065723880896,0.125,0.125
2010-10-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3312633988662443,0.41873660113375577,0.125,0.125
2010-11-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.36596345135950414,0.3840365486404959,0.125,0.125
2010-12-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.30246843956398617,0.4475315604360139,0.125,0.125
2011-01-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.28967024046824064,0.45,0.1301648797658797,0.1301648797658797
2011-02-28,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2923925093136939,0.4499999999999999,0.12880374534315303,0.12880374534315303
2011-03-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3181845023576655,0.43181549764233457,0.125,0.125
2011-04-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.32865516783354276,0.4213448321664572,0.125,0.125
2011-05-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.3383416557926705,0.41165834420732944,0.125,0.125
2011-06-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.37442930509198413,0.37557069490801587,0.125,0.125
2011-07-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.4047643640819239,0.3452356359180761,0.125,0.125
2011-08-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.42926458564787656,0.32073541435212344,0.125,0.125
2011-09-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.4390147194857353,0.31098528051426466,0.125,0.125
2011-10-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.40012004349962105,0.34987995650037895,0.125,0.125
2011-11-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.4343087869165595,0.3156912130834405,0.125,0.125
2011-12-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.2944284513692815,0.1277857743153593,0.1277857743153593
2012-01-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.4173308821950238,0.33266911780497627,0.125,0.125
2012-02-29,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.42981324603807386,0.3201867539619261,0.125,0.125
2012-03-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.27136153779189237,0.13931923110405384,0.13931923110405384
2012-04-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.20350052664268498,0.17324973667865753,0.17324973667865753
2012-05-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.18333333333333335,0.18333333333333335,0.18333333333333335
2012-06-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.18333333333333335,0.18333333333333335,0.18333333333333335
2012-07-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.45,0.24307581389627528,0.15346209305186242,0.15346209305186242
2012-08-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.4499999999999999,0.2944420807336975,0.12777895963315125,0.12777895963315125
2012-09-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.37639307974300534,0.3736069202569947,0.125,0.125
2012-10-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.32072969618593494,0.429270303814065,0.125,0.125
2012-11-30,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.349124549536471,0.400875450463529,0.125,0.125
2012-12-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.2608313831298806,0.45,0.1445843084350597,0.1445843084350597
2013-01-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.25732090101903876,0.4499999999999999,0.14633954949048059,0.14633954949048059
2013-02-28,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.22278681005586615,0.45,0.16360659497206698,0.16360659497206698
2013-03-31,improved_3_dynamic_ic_weights_stop_take_top10,rolling_rank_ic_ir,60,24,0.5,0.1,0.45,0.18333333333333335,0.45,0.18333333333333335,0.18333333333333335
