strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,CLX,Consumer Staples,1.2819923674145801,100000.0,0.07579291044761405
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,LII,Industrials,1.2686278938027011,100000.0,0.04533277864905094
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,KMB,Consumer Staples,1.1180665467791622,100000.0,0.09122465858978046
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,TSN,Consumer Staples,1.1048288276289593,100000.0,0.04408316398292156
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,MO,Consumer Staples,1.0113894338032234,100000.0,0.09235082723894728
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,NVDA,Information Technology,0.9222642362127575,100000.0,0.010967741944301945
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,CINF,Financials,0.9167713972928823,100000.0,0.09362824897038591
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,CPRT,Industrials,0.9141169515733137,100000.0,-0.015270243118344462
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,FIX,Industrials,0.9069679379666092,100000.0,0.028742893239699585
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-05-31,GPN,Financials,0.9054395630059856,100000.0,-0.1
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-06-30,CHTR,Communication Services,1.2787742559563666,100000.0,0.027068392513555972
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-06-30,CLX,Consumer Staples,1.2178692872833918,100000.0,-0.0493206831373475
improved_3_dynamic_ic_weights_stop_take_top10,Improved 3: builds on improved 2 and uses past-only rolling rank-IC weights with shrinkage and caps.,2016-06-30,KMB,Consumer Staples,1.2011229362584008,100000.0,-0.05437956204355421
