date,ticker,size,price,market_value,entry_price
2011-06-02,BIIB,1073,95.17,102117.41,93.4
2011-06-02,BKNG,5022,20.1362478275,101124.236589705,19.9481503449
2011-06-02,CF,4828,21.0010976781,101393.2995898668,20.7228355809
2011-06-02,DPZ,5121,19.1906666141,98275.4037308061,19.5000655384
2011-06-02,MO,9008,10.9611768323,98738.28090535839,11.1003285149
2011-06-02,NFLX,26191,3.88142469,101658.39405578999,3.800710485
2011-06-02,ROST,5998,16.5433169605,99226.815129079,16.5846236196
2011-06-02,TPL,21529,4.7333916153,101905.1880857937,4.6142444579
2011-06-02,VRSN,2940,34.5259965769,101506.429936086,34.082724153
2011-06-02,YUM,3423,29.2227612406,100029.51172657381,29.1852205306
2011-06-03,BIIB,1073,94.4,101291.20000000001,93.4
2011-06-03,BKNG,5022,19.9406892757,100142.1415425654,19.9481503449
2011-06-03,CF,4828,21.1716905216,102216.92183828479,20.7228355809
2011-06-03,DPZ,5121,19.2303331428,98478.5360242788,19.5000655384
2011-06-03,MO,9008,10.9731041194,98845.7219075552,11.1003285149
2011-06-03,NFLX,26191,3.9100246614,102407.4559067274,3.800710485
2011-06-03,ROST,5998,16.3842863231,98272.9493659538,16.5846236196
2011-06-03,TPL,21529,4.6240913304,99552.0622521816,4.6142444579
2011-06-03,VRSN,2940,34.3880896006,101100.98342576399,34.082724153
2011-06-03,YUM,3423,29.1852205306,99901.0098762438,29.1852205306
2011-06-06,BIIB,1073,93.16,99960.68,93.4
2011-06-06,BKNG,5022,19.7470941632,99169.9068875904,19.9481503449
2011-06-06,CF,4828,20.7088525609,99982.3401640252,20.7228355809
2011-06-06,DPZ,5121,18.7226015747,95878.4426640387,19.5000655384
2011-06-06,MO,9008,10.8339524367,97592.24354979361,11.1003285149
2011-06-06,NFLX,26191,3.751281963,98249.82589293299,3.800710485
2011-06-06,ROST,5998,16.1398992941,96807.1159660118,16.5846236196
2011-06-06,TPL,21529,4.716651932,101544.79944402802,4.6142444579
