month,intercept,ma_ratio_3,ma_ratio_5,ma_ratio_10,ma_ratio_20,ma_ratio_50,ma_ratio_100,ma_ratio_200,ma_ratio_400,ma_ratio_600,ma_ratio_800,ma_ratio_1000,smoothed_window,smoothed_n_obs
2010-05-31,,,,,,,,,,,,,12,
2010-06-30,,,,,,,,,,,,,12,
2010-07-31,,,,,,,,,,,,,12,
2010-08-31,,,,,,,,,,,,,12,
2010-09-30,,,,,,,,,,,,,12,
2010-10-31,,,,,,,,,,,,,12,
2010-11-30,,,,,,,,,,,,,12,
2010-12-31,,,,,,,,,,,,,12,
2011-01-31,,,,,,,,,,,,,12,
2011-02-28,,,,,,,,,,,,,12,
2011-03-31,,,,,,,,,,,,,12,
2011-04-30,,,,,,,,,,,,,12,
2011-05-31,-0.1549037365939533,-0.02030401996251748,0.12115427639311172,0.12212072153819394,0.023718896828847702,-0.061774091667496055,-0.06223614090826393,0.0961651563718669,-0.01195425465303263,-0.07410576693633548,0.09666277959896037,-0.05282602498452219,12,389.5833333333333
2011-06-30,-0.07595354391225254,-0.16581550531299646,0.15488157064363403,0.10794404760855357,0.03163213986907731,0.0669704510925734,-0.20776029278315478,0.18560049761990804,-0.054597528614050754,-0.07114432363823087,0.10290644073864548,-0.05492504800532857,12,390.4166666666667
2011-07-31,-0.27734365782624476,0.38120949217543104,-0.2327253554526345,0.020693591810519062,0.2522609186763983,-0.05920218768526438,-0.17252810936630783,0.1669895598208392,-0.026378503718399695,-0.09014667512151113,0.1045562699907585,-0.05230378262218749,12,391.3333333333333
2011-08-31,-0.41518836226529715,0.702839189990609,-0.4275342020620747,0.08746243096424668,0.10699671974351006,0.07903764567987182,-0.23849683804433094,0.19772657852133202,-0.050956211821851595,-0.07029009990280816,0.0882211329794746,-0.045747572240366734,12,392.3333333333333
2011-09-30,-0.32601547956469995,0.44119634035313693,-0.27532056025254237,0.17557412275596088,0.025123829352428396,0.09531897611760082,-0.2309406668999128,0.1592874665010947,-0.02630087355595645,-0.05449958131569854,0.06299822489117834,-0.03754984205579759,12,393.1666666666667
2011-10-31,-0.33740492772073677,0.5354855291530641,-0.34324294712886916,0.1706759601795147,-0.002228666406799936,0.08859917269786753,-0.21392031042945017,0.16398830019964336,-0.024930038618828487,-0.0057605291568862405,0.0031019297368013177,-0.02080096412962498,12,393.9166666666667
2011-11-30,-0.38716322200279535,0.7194380576400045,-0.6347691914436696,0.4328108326659796,-0.11393194687973517,0.10000300186766382,-0.21137327062558361,0.14912594007471855,-0.031680474363405355,0.020093456703639653,-0.017783423178478624,-0.010414654104411126,12,394.8333333333333
2011-12-31,-0.3294944748124617,0.428634334387362,-0.33008624847479723,0.4026503177213942,-0.1549757895727277,0.07137401207038781,-0.13825998939988013,0.08790912499258659,-0.013858560484246931,0.028920690274550073,-0.023906618864629855,-0.014130111892900954,12,395.8333333333333
2012-01-31,-0.28562372316755413,0.09058528301615705,-0.08795117949299402,0.49960863699187513,-0.23006417225460232,0.08826214301345571,-0.14000569107386304,0.11813231783378515,-0.061998055294590536,0.13240862471019219,-0.11100329784398226,-0.0006668703536057689,12,396.9166666666667
2012-02-29,-0.28441345017964625,-0.008048602832418325,-0.022055370944764726,0.5595600930448811,-0.25735964983027887,0.06735251571187705,-0.12501467152553636,0.1266644783127637,-0.06504227776784875,0.15173799709507121,-0.1397192662278751,0.0060750088222502165,12,398.0
2012-03-31,-0.1918959043612999,0.05619286138182017,-0.1665098266159519,0.5186127548196519,-0.2214123070391859,0.08903595707754619,-0.16151524338637138,0.13751900538903003,-0.07996917479163179,0.1805874026306021,-0.15842584214971558,0.0070404745807919195,12,399.0833333333333
2012-04-30,-0.24931642944582133,0.16560151618088426,-0.2692520966671645,0.5950665654665824,-0.2796182017177758,0.14256215400289973,-0.1715714578027168,0.15484783385573128,-0.1377760353032522,0.2075476241886569,-0.16438168303485817,0.013037166738740747,12,400.1666666666667
2012-05-31,-0.1757477990779531,-0.031465002054919734,-0.02342494946543877,0.37592902778544146,-0.1393686538012597,0.07282746974003736,-0.16433632614579063,0.18630893742895918,-0.16694689530909887,0.2235183506093894,-0.15257483082001547,-0.0014858132767451109,12,401.1666666666667
2012-06-30,-0.09698883082417742,-0.06248166997310548,-0.08905227254242103,0.3508401390568005,-0.06746912479153218,0.0003914412899323506,-0.08634452591967144,0.13823461351878985,-0.15567379849403457,0.2353347811907803,-0.1594277041419235,0.0012584393216341124,12,402.0833333333333
2012-07-31,0.03537896426575857,-0.33795559408005404,0.16754653753634452,0.25109466569267913,-0.1403997244034577,0.06693827870193698,-0.07961057484934855,0.12323549457484895,-0.12345645050305447,0.17321127523902816,-0.1364152843574981,0.011699194960810684,12,402.8333333333333
2012-08-31,0.046196294111716496,-0.5150735993567054,0.38252181368056565,0.1687917643781767,-0.07233578289406412,-0.06434997404979755,0.04630987041962986,0.0860227081720925,-0.10885654690551093,0.16475410675070115,-0.14445390445852888,0.02505112586828338,12,403.4166666666667
2012-09-30,0.10004499940685785,-0.379235314919427,0.283488677500054,0.053956449979804644,-0.06170376032657548,-0.047463188840472126,0.04797714214722621,0.09329549656464242,-0.1366573615748772,0.17734636884536595,-0.15544541992666924,0.043712771574332114,12,404.1666666666667
2012-10-31,0.12304899382079582,-0.5457001366244901,0.5008075397632187,-0.0482674796690741,-0.0037016276194857672,-0.06993078904682451,0.060693066058111284,0.04668906554812535,-0.1202343306628842,0.1657374820664143,-0.14141595199094575,0.04573483301944444,12,405.0833333333333
2012-11-30,0.1351889795269329,-0.5811236943452313,0.523609774376753,-0.07042784494774725,-0.03736710771641661,0.013301567012959925,0.0044694026566643634,0.07665707690893979,-0.11325131038707702,0.18346412517437607,-0.17758405174480718,0.05793828510042729,12,405.75
2012-12-31,0.036732972335853466,-0.28103715288523307,0.356658894903243,-0.20931056483165733,0.09091289373393809,-0.009025149669161453,-0.018283912559182814,0.11325541011756106,-0.1578155903969459,0.1912781864721711,-0.1340350637230374,0.03133019961694989,12,406.25
2013-01-31,0.07414924527958561,-0.06706775739707782,-0.07770067412095294,0.05630255213618226,0.006001374853155217,0.01797811665177547,-0.011648860180947115,0.06077505109811925,-0.12343152364381127,0.11697142222775538,-0.0444786311622139,0.006967000596020766,12,406.6666666666667
2013-02-28,0.04281511169135164,0.039422013309097705,-0.09402950688190155,-0.02726432561994151,0.0062750522414659615,0.06445242573243286,-0.056608562853523746,0.07522369484841142,-0.09077204228198286,0.05400725325929046,0.0017029167213599868,0.0009493492833030469,12,407.0833333333333
2013-03-31,0.0914039858988473,-0.09596149243384067,0.026566465049181236,-0.019916686150453288,-0.0188260936638375,0.014946626154268491,-0.01722150561677374,0.054630942754956335,-0.054885758188370735,-0.020186522683790342,0.0694179922547914,-0.009879742557500732,12,407.5
2013-04-30,0.10171899360320502,-0.09371936093067874,0.00829491787749608,0.009997579066734994,-0.025455269176885887,-0.04201366224939799,0.01046316504620974,0.06223260404373979,-0.05945432721070907,0.010069436191305117,0.017699187942197752,0.024374729745288193,12,407.75
