year,scenario,scenario_multiplier,commission_bps_per_side,slippage_bps_per_side,round_trip_bps
2006,zero,0.0,0.0,0.0,0.0
2007,zero,0.0,0.0,0.0,0.0
2008,zero,0.0,0.0,0.0,0.0
2009,zero,0.0,0.0,0.0,0.0
2010,zero,0.0,0.0,0.0,0.0
2011,zero,0.0,0.0,0.0,0.0
2012,zero,0.0,0.0,0.0,0.0
2013,zero,0.0,0.0,0.0,0.0
2014,zero,0.0,0.0,0.0,0.0
2015,zero,0.0,0.0,0.0,0.0
2016,zero,0.0,0.0,0.0,0.0
2017,zero,0.0,0.0,0.0,0.0
2018,zero,0.0,0.0,0.0,0.0
2019,zero,0.0,0.0,0.0,0.0
2020,zero,0.0,0.0,0.0,0.0
2021,zero,0.0,0.0,0.0,0.0
2022,zero,0.0,0.0,0.0,0.0
2023,zero,0.0,0.0,0.0,0.0
2024,zero,0.0,0.0,0.0,0.0
2025,zero,0.0,0.0,0.0,0.0
2026,zero,0.0,0.0,0.0,0.0
2006,central,1.0,7.0,6.0,26.0
2007,central,1.0,6.0,5.0,22.0
2008,central,1.0,6.0,8.0,28.0
2009,central,1.0,5.0,5.0,20.0
2010,central,1.0,4.0,4.0,16.0
2011,central,1.0,4.0,3.5,15.0
2012,central,1.0,3.0,3.0,12.0
2013,central,1.0,3.0,2.5,11.0
2014,central,1.0,2.5,2.0,9.0
2015,central,1.0,2.0,2.0,8.0
2016,central,1.0,1.5,2.0,7.0
2017,central,1.0,1.5,1.5,6.0
2018,central,1.0,1.0,1.5,5.0
2019,central,1.0,1.0,1.5,5.0
2020,central,1.0,0.7,2.5,6.4
2021,central,1.0,0.5,1.5,4.0
2022,central,1.0,0.5,2.0,5.0
2023,central,1.0,0.5,1.5,4.0
2024,central,1.0,0.5,1.0,3.0
2025,central,1.0,0.5,1.0,3.0
2026,central,1.0,0.5,1.0,3.0
2006,pessimistic,2.0,14.0,12.0,52.0
2007,pessimistic,2.0,12.0,10.0,44.0
2008,pessimistic,2.0,12.0,16.0,56.0
2009,pessimistic,2.0,10.0,10.0,40.0
2010,pessimistic,2.0,8.0,8.0,32.0
2011,pessimistic,2.0,8.0,7.0,30.0
2012,pessimistic,2.0,6.0,6.0,24.0
2013,pessimistic,2.0,6.0,5.0,22.0
2014,pessimistic,2.0,5.0,4.0,18.0
2015,pessimistic,2.0,4.0,4.0,16.0
2016,pessimistic,2.0,3.0,4.0,14.0
2017,pessimistic,2.0,3.0,3.0,12.0
2018,pessimistic,2.0,2.0,3.0,10.0
2019,pessimistic,2.0,2.0,3.0,10.0
2020,pessimistic,2.0,1.4,5.0,12.8
2021,pessimistic,2.0,1.0,3.0,8.0
2022,pessimistic,2.0,1.0,4.0,10.0
2023,pessimistic,2.0,1.0,3.0,8.0
2024,pessimistic,2.0,1.0,2.0,6.0
2025,pessimistic,2.0,1.0,2.0,6.0
2026,pessimistic,2.0,1.0,2.0,6.0
