year,cost_dollars,pnl,gross_pnl,avg_equity_start,avg_round_trip_bps,avg_positions,cost_drag_pct_of_avg_equity,strategy_label,cost_scenario
2006,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2007,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2008,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2009,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2010,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2011,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2012,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2013,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2014,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2015,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_4,zero
2016,0.0,45477.46536168606,45477.46536168606,1032592.1860600836,0.0,5.833333333333333,0.0,improved_4,zero
2017,0.0,217408.27269815357,217408.27269815357,1120170.7195264017,0.0,5.0,0.0,improved_4,zero
2018,0.0,-4797.380416177504,-4797.380416177504,1295216.7453022155,0.0,5.833333333333333,0.0,improved_4,zero
2019,0.0,172649.84295872474,172649.84295872474,1326762.0444008824,0.0,5.833333333333333,0.0,improved_4,zero
2020,0.0,284240.47724328144,284240.47724328144,1583243.878624263,0.0,9.166666666666666,0.0,improved_4,zero
2021,0.0,-877.6421347328105,-877.6421347328105,1726388.01150484,0.0,10.0,0.0,improved_4,zero
2022,0.0,15160.290379164131,15160.290379164131,1718621.376334902,0.0,10.0,0.0,improved_4,zero
2023,0.0,267248.43906490155,267248.43906490155,1786280.8686942009,0.0,10.0,0.0,improved_4,zero
2024,0.0,187504.1603931688,187504.1603931688,2115417.7914627832,0.0,10.0,0.0,improved_4,zero
2025,0.0,254838.26759971416,254838.26759971416,2212918.903568242,0.0,10.0,0.0,improved_4,zero
2026,0.0,312698.6714291794,312698.6714291794,2524907.567293255,0.0,8.0,0.0,improved_4,zero
2006,0.0,0.0,0.0,1000000.0,26.0,0.0,0.0,improved_4,central
2007,0.0,0.0,0.0,1000000.0,21.999999999999996,0.0,0.0,improved_4,central
2008,0.0,0.0,0.0,1000000.0,28.0,0.0,0.0,improved_4,central
2009,0.0,0.0,0.0,1000000.0,20.0,0.0,0.0,improved_4,central
2010,0.0,0.0,0.0,1000000.0,16.0,0.0,0.0,improved_4,central
2011,0.0,0.0,0.0,1000000.0,15.0,0.0,0.0,improved_4,central
2012,0.0,0.0,0.0,1000000.0,11.999999999999998,0.0,0.0,improved_4,central
2013,0.0,0.0,0.0,1000000.0,10.999999999999998,0.0,0.0,improved_4,central
2014,0.0,0.0,0.0,1000000.0,9.0,0.0,0.0,improved_4,central
2015,0.0,0.0,0.0,1000000.0,8.0,0.0,0.0,improved_4,central
2016,4900.0,40577.46536168603,45477.46536168603,1031075.5193934169,7.0,5.833333333333333,0.00475231921215885,improved_4,central
2017,3599.999999999999,213808.27269815357,217408.27269815357,1113970.7195264015,5.999999999999999,5.0,0.003231682787434951,improved_4,central
2018,3500.0,-8297.38041617749,-4797.38041617749,1284883.411968882,5.0,5.833333333333333,0.0027239825554575413,improved_4,central
2019,3500.0,169149.8429587247,172649.8429587247,1313512.0444008824,5.0,5.833333333333333,0.0026646120337605397,improved_4,central
2020,7039.999999999999,277200.47724328144,284240.47724328144,1564810.5452909295,6.3999999999999995,9.166666666666666,0.0044989471864091525,improved_4,central
2021,4800.0,-5677.642134732818,-877.6421347328178,1701648.01150484,3.9999999999999996,10.0,0.00282079488093143,improved_4,central
2022,6000.0,9160.290379164146,15160.290379164146,1688531.376334902,5.0,10.0,0.003553383777222725,improved_4,central
2023,4800.0,262448.4390649015,267248.4390649015,1750740.8686942009,3.9999999999999996,10.0,0.002741696435966623,improved_4,central
2024,3600.000000000001,183904.1603931688,187504.1603931688,2075627.7914627835,3.0000000000000004,10.0,0.0017344150115965286,improved_4,central
2025,3600.000000000001,251238.26759971413,254838.26759971413,2169528.9035682427,3.0000000000000004,10.0,0.0016593464111397873,improved_4,central
2026,1200.0000000000002,311498.6714291794,312698.6714291794,2478967.5672932556,3.0000000000000004,8.0,0.00048407248881850466,improved_4,central
2006,0.0,0.0,0.0,1000000.0,52.0,0.0,0.0,improved_4,pessimistic
2007,0.0,0.0,0.0,1000000.0,43.99999999999999,0.0,0.0,improved_4,pessimistic
2008,0.0,0.0,0.0,1000000.0,56.0,0.0,0.0,improved_4,pessimistic
2009,0.0,0.0,0.0,1000000.0,40.0,0.0,0.0,improved_4,pessimistic
2010,0.0,0.0,0.0,1000000.0,32.0,0.0,0.0,improved_4,pessimistic
2011,0.0,0.0,0.0,1000000.0,30.0,0.0,0.0,improved_4,pessimistic
2012,0.0,0.0,0.0,1000000.0,23.999999999999996,0.0,0.0,improved_4,pessimistic
2013,0.0,0.0,0.0,1000000.0,21.999999999999996,0.0,0.0,improved_4,pessimistic
2014,0.0,0.0,0.0,1000000.0,18.0,0.0,0.0,improved_4,pessimistic
2015,0.0,0.0,0.0,1000000.0,16.0,0.0,0.0,improved_4,pessimistic
2016,9800.0,35677.46536168606,45477.46536168606,1029558.8527267502,14.0,5.833333333333333,0.009518639924318116,improved_4,pessimistic
2017,7199.999999999998,210208.27269815357,217408.27269815357,1107770.7195264015,11.999999999999998,5.0,0.006499539907570558,improved_4,pessimistic
2018,7000.0,-11797.38041617749,-4797.38041617749,1274550.0786355487,10.0,5.833333333333333,0.00549213413998903,improved_4,pessimistic
2019,7000.0,165649.84295872474,172649.84295872474,1300262.0444008824,10.0,5.833333333333333,0.005383530212346825,improved_4,pessimistic
2020,14079.999999999998,270160.47724328144,284240.47724328144,1546377.2119575962,12.799999999999999,9.166666666666666,0.00910515228181343,improved_4,pessimistic
2021,9600.0,-10477.642134732821,-877.6421347328214,1676908.01150484,7.999999999999999,10.0,0.005724822073802998,improved_4,pessimistic
2022,12000.0,3160.2903791641456,15160.290379164146,1658441.376334902,10.0,10.0,0.0072357094867709975,improved_4,pessimistic
2023,9600.0,257648.4390649015,267248.4390649015,1715200.8686942009,7.999999999999999,10.0,0.005597012090664677,improved_4,pessimistic
2024,7200.000000000002,180304.16039316883,187504.16039316883,2035837.791462783,6.000000000000001,10.0,0.003536627539872262,improved_4,pessimistic
2025,7200.000000000002,247638.2675997141,254838.2675997141,2126138.903568242,6.000000000000001,10.0,0.003386420326497217,improved_4,pessimistic
2026,2400.0000000000005,310298.6714291794,312698.6714291794,2433027.5672932556,6.000000000000001,8.0,0.0009864253213826104,improved_4,pessimistic
2006,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_6,zero
2007,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_6,zero
2008,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_6,zero
2009,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_6,zero
2010,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,improved_6,zero
2011,0.0,-9765.886902396982,-9765.886902396982,964683.762374065,0.0,6.0,0.0,improved_6,zero
2012,0.0,88466.53412219978,88466.53412219978,1043141.949057679,0.0,9.916666666666666,0.0,improved_6,zero
2013,0.0,252476.2850131892,252476.2850131892,1202639.1273967128,0.0,10.0,0.0,improved_6,zero
2014,0.0,55104.74508558115,55104.74508558115,1396319.0600795278,0.0,10.0,0.0,improved_6,zero
2015,0.0,41929.58923343136,41929.58923343136,1420649.078343584,0.0,10.0,0.0,improved_6,zero
2016,0.0,126773.93128722749,126773.93128722749,1503508.0695767151,0.0,10.0,0.0,improved_6,zero
2017,0.0,242644.9910640379,242644.9910640379,1639067.5251852742,0.0,10.0,0.0,improved_6,zero
2018,0.0,6506.106723123419,6506.106723123419,1774137.0401156906,0.0,10.0,0.0,improved_6,zero
2019,0.0,202184.1588856614,202184.1588856614,1908054.781623951,0.0,10.0,0.0,improved_6,zero
