date,ticker,size,price,market_value,entry_price
2016-06-02,CL,888,56.442204383,50120.677492104005,56.1260901048
2016-06-02,CLX,517,96.6102373997,49947.4927356449,96.7665044401
2016-06-02,CPRT,8103,6.1825,50096.7975,6.16625
2016-06-02,EW,1502,34.0333333333,51118.0666666166,33.3333333333
2016-06-02,GPN,679,74.7713690745,50769.7596015855,73.5207582384
2016-06-02,HD,479,104.7259862473,50163.7474124567,104.2830699095
2016-06-02,KLAC,805,62.2100816179,50079.1157024095,61.963856373300004
2016-06-02,KMB,551,90.598008351,49919.502601401,90.5130727182
2016-06-02,LII,407,122.6042192413,49899.9172312091,122.3197340687
2016-06-02,LMT,273,182.4303774171,49803.493034868305,182.6604960448
2016-06-02,MCD,525,95.212860274,49986.751643849995,94.8435440709
2016-06-02,MO,1530,32.6492438206,49953.343045518,32.6238595539
2016-06-02,MSI,843,59.0273022888,49760.0158294584,59.2503705823
2016-06-02,NVDA,43517,1.1570720499,50352.3043954983,1.1551084147
2016-06-02,POOL,616,82.4106752418,50764.975948948806,80.9586607661
2016-06-02,SPGI,494,100.7607514776,49775.8112299344,100.560051022
2016-06-02,TSN,1001,48.6190018621,48667.620863962096,50.016992331
2016-06-02,ULTA,211,237.06,50019.66,236.24
2016-06-02,UPS,710,70.4518917273,50020.843126383,70.2399549351
2016-06-02,VZ,1690,29.784564671,50335.91429399,29.6085676373
2016-06-03,CL,888,56.5844558082,50246.9967576816,56.1260901048
2016-06-03,CLX,517,96.6772089884,49982.1170470028,96.7665044401
2016-06-03,CPRT,8103,6.10125,49438.42875,6.16625
2016-06-03,EW,1502,33.8433333333,50832.6866666166,33.3333333333
2016-06-03,GPN,679,72.0617122631,48929.90262664491,73.5207582384
2016-06-03,HD,479,104.196068486,49909.916804794004,104.2830699095
2016-06-03,KLAC,805,62.0657426814,49962.922858527,61.963856373300004
2016-06-03,KMB,551,92.0702259867,50730.6945186717,90.5130727182
2016-06-03,LII,407,122.4975373016,49856.4976817512,122.3197340687
2016-06-03,LMT,273,183.2664750977,50031.7477016721,182.6604960448
2016-06-03,MCD,525,95.354300522,50061.00777405,94.8435440709
2016-06-03,MO,1530,33.1518523011,50722.334020683,32.6238595539
2016-06-03,MSI,843,58.744177147,49521.341334921,59.2503705823
2016-06-03,NVDA,43517,1.1408720594,49647.3294089098,1.1551084147
2016-06-03,POOL,616,81.950280408,50481.372731327996,80.9586607661
2016-06-03,SPGI,494,100.021808891,49410.773592154,100.560051022
2016-06-03,TSN,1001,49.0927652988,49141.8580640988,50.016992331
2016-06-03,ULTA,211,236.57,49916.27,236.24
2016-06-03,UPS,710,70.4997484223,50054.821379833,70.2399549351
2016-06-03,VZ,1690,29.8725631879,50484.631787551,29.6085676373
2016-06-06,CL,888,56.7741243752,50415.4224451776,56.1260901048
2016-06-06,CLX,517,96.2381730178,49755.13545020259,96.7665044401
2016-06-06,CPRT,8103,6.1275,49651.1325,6.16625
2016-06-06,EW,1502,33.8166666667,50792.633333383405,33.3333333333
2016-06-06,GPN,679,73.0944136353,49631.1068583687,73.5207582384
2016-06-06,HD,479,102.1792173045,48943.8450888555,104.2830699095
2016-06-06,KLAC,805,61.7600837571,49716.8674244655,61.963856373300004
2016-06-06,KMB,551,92.1339277113,50765.7941689263,90.5130727182
2016-06-06,LII,407,122.888704414,50015.702696498,122.3197340687
2016-06-06,LMT,273,183.634664902,50132.263518246,182.6604960448
2016-06-06,MCD,525,95.8650569731,50329.1549108775,94.8435440709
2016-06-06,MO,1530,33.1010837677,50644.65816458099,32.6238595539
2016-06-06,MSI,843,59.0015636395,49738.3181480985,59.2503705823
2016-06-06,NVDA,43517,1.1349811538,49390.9748699146,1.1551084147
2016-06-06,POOL,616,80.8081470704,49777.8185953664,80.9586607661
2016-06-06,SPGI,494,100.5874192659,49690.185117354595,100.560051022
2016-06-06,ULTA,211,236.74,49952.14,236.24
2016-06-06,UPS,710,70.4929117516,50049.967343636,70.2399549351
2016-06-06,VZ,1690,29.7493652643,50276.427296666996,29.6085676373
2016-06-07,CL,888,56.5765529513,50239.9790207544,56.1260901048
2016-06-07,CLX,517,96.2604968807,49766.676887321904,96.7665044401
2016-06-07,CPRT,8103,6.1675,49975.2525,6.16625
2016-06-07,EW,1502,33.8333333333,50817.6666666166,33.3333333333
2016-06-07,GPN,679,72.8954528204,49496.01246505159,73.5207582384
2016-06-07,HD,479,102.7565903879,49220.406795804105,104.2830699095
2016-06-07,KLAC,805,61.946875322,49867.23463421,61.963856373300004
2016-06-07,KMB,551,92.1551616195,50777.494052344504,90.5130727182
2016-06-07,LII,407,123.7866107401,50381.1505712207,122.3197340687
2016-06-07,LMT,273,183.7113711112,50153.2043133576,182.6604960448
2016-06-07,MCD,525,95.7864790575,50287.9015051875,94.8435440709
2016-06-07,MO,1530,33.0503152343,50566.982308479004,32.6238595539
2016-06-07,MSI,843,58.4782111047,49297.1319612621,59.2503705823
2016-06-07,NVDA,43517,1.1371902434,49487.107822037804,1.1551084147
2016-06-07,POOL,616,80.9409532725,49859.62721586,80.9586607661
2016-06-07,SPGI,494,100.003563395,49401.76031713,100.560051022
2016-06-07,ULTA,211,239.18,50466.98,236.24
2016-06-07,UPS,710,71.012498726,50418.87409546,70.2399549351
2016-06-07,VZ,1690,30.3594883145,51307.535251504996,29.6085676373
2016-06-08,CL,888,56.9005700865,50527.706236811995,56.1260901048
2016-06-08,CLX,517,96.8185934535,50055.2128154595,96.7665044401
2016-06-08,CPRT,8103,6.2125,50339.887500000004,6.16625
2016-06-08,EW,1502,34.2233333333,51403.4466666166,33.3333333333
2016-06-08,GPN,679,72.3080447005,49097.162351639505,73.5207582384
2016-06-08,HD,479,102.4955861173,49095.385750186695,104.2830699095
2016-06-08,KLAC,805,62.1336668868,50017.601843874,61.963856373300004
2016-06-08,KMB,551,92.5090600897,50972.4921094247,90.5130727182
2016-06-08,LII,407,125.440180806,51054.153588042,122.3197340687
2016-06-08,LMT,273,184.3863857525,50337.4833104325,182.6604960448
2016-06-08,MCD,525,95.9514926802,50374.533657105,94.8435440709
2016-06-08,MO,1530,33.3143116079,50970.896760087,32.6238595539
2016-06-08,MSI,843,59.2417910326,49940.8298404818,59.2503705823
2016-06-08,NVDA,43517,1.1335084274,49326.8862351658,1.1551084147
2016-06-08,POOL,616,81.5607155487,50241.4007779992,80.9586607661
2016-06-08,SPGI,494,100.3867188103,49591.0390922882,100.560051022
2016-06-08,ULTA,211,239.36,50504.96000000001,236.24
2016-06-08,UPS,710,71.5731057247,50816.905064537,70.2399549351
2016-06-08,VZ,1690,30.2245572553,51079.501761456995,29.6085676373
2016-06-09,CL,888,57.169267223,50766.309294024,56.1260901048
