strategy,avg_max_sector_share,worst_max_sector_share,avg_distinct_sectors,max_single_month_sector_count
base_equal_top10,0.34866898148148145,0.8,5.421875,8
base_equal_top10_regime,0.3417190775681342,0.8,5.515723270440252,8
base_top10_stop10_take20,0.34866898148148145,0.8,5.421875,8
equal_top5,0.44166666666666665,1.0,3.5833333333333335,5
hzz_low_vol_factor_top10,0.3536439665471923,0.7,5.43010752688172,7
hzz_sector_cap2_top10,0.20074671445639186,0.25,6.408602150537634,2
hzz_sector_cap2_top15,0.21323098944066685,0.375,7.059139784946237,3
hzz_sector_cap2_vol_penalty_top10,0.20035842293906808,0.2222222222222222,6.387096774193548,2
hzz_trend_composite_top10,0.3568249701314217,0.7,5.456989247311828,7
hzz_vol_penalty_top10,0.3490292712066906,0.7,5.370967741935484,7
no_trend_top10,0.3460841899167891,0.8,5.3744493392070485,8
top5_regime_stop10_take20,0.43899371069182386,1.0,3.6289308176100628,5
trend_heavy_top10_regime,0.3716981132075472,0.9,5.371069182389937,9
trend_momentum_heavy_top10,0.37060185185185185,0.9,5.333333333333333,9
value_quality_heavy_top10,0.3340277777777778,0.6,5.411458333333333,6
