strategy,signal_month,GICS Sector,sector_count,n_holdings,sector_share
base_equal_top10,2010-05-31,Communication Services,1,10,0.1
base_equal_top10,2010-05-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2010-05-31,Consumer Staples,3,10,0.3
base_equal_top10,2010-05-31,Health Care,1,10,0.1
base_equal_top10,2010-05-31,Information Technology,2,10,0.2
base_equal_top10,2010-06-30,Communication Services,1,9,0.1111111111111111
base_equal_top10,2010-06-30,Consumer Discretionary,4,9,0.4444444444444444
base_equal_top10,2010-06-30,Industrials,3,9,0.3333333333333333
base_equal_top10,2010-06-30,Information Technology,1,9,0.1111111111111111
base_equal_top10,2010-07-31,Communication Services,1,10,0.1
base_equal_top10,2010-07-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2010-07-31,Consumer Staples,1,10,0.1
base_equal_top10,2010-07-31,Financials,1,10,0.1
base_equal_top10,2010-07-31,Health Care,1,10,0.1
base_equal_top10,2010-07-31,Information Technology,3,10,0.3
base_equal_top10,2010-08-31,Communication Services,1,10,0.1
base_equal_top10,2010-08-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2010-08-31,Consumer Staples,4,10,0.4
base_equal_top10,2010-08-31,Health Care,1,10,0.1
base_equal_top10,2010-08-31,Information Technology,1,10,0.1
base_equal_top10,2010-09-30,Communication Services,1,10,0.1
base_equal_top10,2010-09-30,Consumer Discretionary,2,10,0.2
base_equal_top10,2010-09-30,Consumer Staples,2,10,0.2
base_equal_top10,2010-09-30,Industrials,1,10,0.1
base_equal_top10,2010-09-30,Information Technology,4,10,0.4
base_equal_top10,2010-10-31,Communication Services,1,10,0.1
base_equal_top10,2010-10-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2010-10-31,Consumer Staples,1,10,0.1
base_equal_top10,2010-10-31,Industrials,2,10,0.2
base_equal_top10,2010-10-31,Information Technology,3,10,0.3
base_equal_top10,2010-11-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2010-11-30,Consumer Staples,2,10,0.2
base_equal_top10,2010-11-30,Energy,1,10,0.1
base_equal_top10,2010-11-30,Financials,1,10,0.1
base_equal_top10,2010-11-30,Industrials,1,10,0.1
base_equal_top10,2010-11-30,Information Technology,4,10,0.4
base_equal_top10,2010-12-31,Communication Services,1,10,0.1
base_equal_top10,2010-12-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2010-12-31,Consumer Staples,2,10,0.2
base_equal_top10,2010-12-31,Financials,1,10,0.1
base_equal_top10,2010-12-31,Industrials,1,10,0.1
base_equal_top10,2010-12-31,Information Technology,2,10,0.2
base_equal_top10,2011-01-31,Consumer Discretionary,2,10,0.2
base_equal_top10,2011-01-31,Consumer Staples,3,10,0.3
base_equal_top10,2011-01-31,Industrials,2,10,0.2
base_equal_top10,2011-01-31,Information Technology,2,10,0.2
base_equal_top10,2011-01-31,Materials,1,10,0.1
base_equal_top10,2011-02-28,Communication Services,1,10,0.1
base_equal_top10,2011-02-28,Consumer Discretionary,3,10,0.3
base_equal_top10,2011-02-28,Consumer Staples,2,10,0.2
base_equal_top10,2011-02-28,Financials,1,10,0.1
base_equal_top10,2011-02-28,Industrials,1,10,0.1
base_equal_top10,2011-02-28,Information Technology,2,10,0.2
base_equal_top10,2011-03-31,Communication Services,1,10,0.1
base_equal_top10,2011-03-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-03-31,Consumer Staples,4,10,0.4
base_equal_top10,2011-03-31,Information Technology,4,10,0.4
base_equal_top10,2011-04-30,Communication Services,1,10,0.1
base_equal_top10,2011-04-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-04-30,Consumer Staples,1,10,0.1
base_equal_top10,2011-04-30,Energy,1,10,0.1
base_equal_top10,2011-04-30,Health Care,1,10,0.1
base_equal_top10,2011-04-30,Industrials,1,10,0.1
base_equal_top10,2011-04-30,Information Technology,3,10,0.3
base_equal_top10,2011-04-30,Real Estate,1,10,0.1
base_equal_top10,2011-05-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-05-31,Consumer Staples,3,10,0.3
base_equal_top10,2011-05-31,Energy,1,10,0.1
base_equal_top10,2011-05-31,Health Care,2,10,0.2
base_equal_top10,2011-05-31,Industrials,1,10,0.1
base_equal_top10,2011-05-31,Information Technology,2,10,0.2
base_equal_top10,2011-06-30,Communication Services,1,10,0.1
base_equal_top10,2011-06-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-06-30,Consumer Staples,2,10,0.2
base_equal_top10,2011-06-30,Health Care,1,10,0.1
base_equal_top10,2011-06-30,Industrials,2,10,0.2
base_equal_top10,2011-06-30,Information Technology,3,10,0.3
base_equal_top10,2011-07-31,Communication Services,1,10,0.1
base_equal_top10,2011-07-31,Consumer Discretionary,2,10,0.2
base_equal_top10,2011-07-31,Health Care,2,10,0.2
base_equal_top10,2011-07-31,Industrials,3,10,0.3
base_equal_top10,2011-07-31,Information Technology,2,10,0.2
base_equal_top10,2011-08-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-08-31,Consumer Staples,4,10,0.4
base_equal_top10,2011-08-31,Energy,1,10,0.1
base_equal_top10,2011-08-31,Financials,1,10,0.1
base_equal_top10,2011-08-31,Industrials,1,10,0.1
base_equal_top10,2011-08-31,Information Technology,2,10,0.2
base_equal_top10,2011-09-30,Communication Services,1,10,0.1
base_equal_top10,2011-09-30,Consumer Discretionary,4,10,0.4
base_equal_top10,2011-09-30,Consumer Staples,2,10,0.2
base_equal_top10,2011-09-30,Information Technology,1,10,0.1
base_equal_top10,2011-09-30,Materials,2,10,0.2
base_equal_top10,2011-10-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2011-10-31,Consumer Staples,4,10,0.4
base_equal_top10,2011-10-31,Energy,1,10,0.1
base_equal_top10,2011-10-31,Industrials,1,10,0.1
base_equal_top10,2011-10-31,Real Estate,1,10,0.1
base_equal_top10,2011-11-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2011-11-30,Consumer Staples,4,10,0.4
base_equal_top10,2011-11-30,Energy,1,10,0.1
base_equal_top10,2011-11-30,Financials,1,10,0.1
base_equal_top10,2011-11-30,Health Care,2,10,0.2
base_equal_top10,2011-11-30,Information Technology,1,10,0.1
base_equal_top10,2011-12-31,Consumer Discretionary,4,10,0.4
base_equal_top10,2011-12-31,Consumer Staples,1,10,0.1
base_equal_top10,2011-12-31,Energy,1,10,0.1
base_equal_top10,2011-12-31,Health Care,2,10,0.2
base_equal_top10,2011-12-31,Industrials,2,10,0.2
base_equal_top10,2012-01-31,Consumer Discretionary,3,10,0.3
base_equal_top10,2012-01-31,Consumer Staples,3,10,0.3
base_equal_top10,2012-01-31,Energy,1,10,0.1
base_equal_top10,2012-01-31,Health Care,1,10,0.1
base_equal_top10,2012-01-31,Industrials,1,10,0.1
base_equal_top10,2012-01-31,Information Technology,1,10,0.1
base_equal_top10,2012-02-29,Consumer Discretionary,2,10,0.2
base_equal_top10,2012-02-29,Consumer Staples,2,10,0.2
base_equal_top10,2012-02-29,Industrials,3,10,0.3
base_equal_top10,2012-02-29,Information Technology,2,10,0.2
base_equal_top10,2012-02-29,Utilities,1,10,0.1
base_equal_top10,2012-03-31,Consumer Discretionary,5,10,0.5
base_equal_top10,2012-03-31,Consumer Staples,1,10,0.1
base_equal_top10,2012-03-31,Industrials,1,10,0.1
base_equal_top10,2012-03-31,Information Technology,2,10,0.2
base_equal_top10,2012-03-31,Materials,1,10,0.1
base_equal_top10,2012-04-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2012-04-30,Consumer Staples,3,10,0.3
base_equal_top10,2012-04-30,Energy,1,10,0.1
base_equal_top10,2012-04-30,Industrials,3,10,0.3
base_equal_top10,2012-04-30,Information Technology,1,10,0.1
base_equal_top10,2012-04-30,Materials,1,10,0.1
base_equal_top10,2012-05-31,Consumer Discretionary,5,10,0.5
base_equal_top10,2012-05-31,Consumer Staples,3,10,0.3
base_equal_top10,2012-05-31,Information Technology,2,10,0.2
base_equal_top10,2012-06-30,Consumer Discretionary,4,10,0.4
base_equal_top10,2012-06-30,Consumer Staples,3,10,0.3
base_equal_top10,2012-06-30,Energy,1,10,0.1
base_equal_top10,2012-06-30,Information Technology,2,10,0.2
base_equal_top10,2012-07-31,Consumer Discretionary,4,10,0.4
base_equal_top10,2012-07-31,Consumer Staples,3,10,0.3
base_equal_top10,2012-07-31,Energy,1,10,0.1
base_equal_top10,2012-07-31,Industrials,1,10,0.1
base_equal_top10,2012-07-31,Information Technology,1,10,0.1
base_equal_top10,2012-08-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2012-08-31,Energy,1,10,0.1
base_equal_top10,2012-08-31,Financials,1,10,0.1
base_equal_top10,2012-08-31,Industrials,2,10,0.2
base_equal_top10,2012-08-31,Information Technology,5,10,0.5
base_equal_top10,2012-09-30,Consumer Discretionary,5,10,0.5
base_equal_top10,2012-09-30,Energy,1,10,0.1
